"","word","freq","first_Nmin1","last","first","first2","first3","second","third","fourth"
"1218","i have been a bad",2,"i have been a","bad","i","i have","i have been","have","been","a"
"1219","i have been asked to",2,"i have been asked","to","i","i have","i have been","have","been","asked"
"1220","i have been known to",2,"i have been known","to","i","i have","i have been","have","been","known"
"1221","i have been told by",2,"i have been told","by","i","i have","i have been","have","been","told"
"1222","i have been wanting to",2,"i have been wanting","to","i","i have","i have been","have","been","wanting"
"1223","i have got a lot",2,"i have got a","lot","i","i have","i have got","have","got","a"
"1224","i have learned is that",2,"i have learned is","that","i","i have","i have learned","have","learned","is"
"1225","i have learned so much",2,"i have learned so","much","i","i have","i have learned","have","learned","so"
"1226","i have never been in",2,"i have never been","in","i","i have","i have never","have","never","been"
"1227","i have never been so",2,"i have never been","so","i","i have","i have never","have","never","been"
"1228","i have never seen the",2,"i have never seen","the","i","i have","i have never","have","never","seen"
"1229","i have no idea i",2,"i have no idea","i","i","i have","i have no","have","no","idea"
"1230","i have no idea what",2,"i have no idea","what","i","i have","i have no","have","no","idea"
"1231","i have no idea why",2,"i have no idea","why","i","i have","i have no","have","no","idea"
"1232","i have something to say",2,"i have something to","say","i","i have","i have something","have","something","to"
"1233","i have to admit i",2,"i have to admit","i","i","i have","i have to","have","to","admit"
"1234","i have to admit that",2,"i have to admit","that","i","i have","i have to","have","to","admit"
"1235","i have to do is",2,"i have to do","is","i","i have","i have to","have","to","do"
"1236","i have to go to",2,"i have to go","to","i","i have","i have to","have","to","go"
"1237","i have to say i",2,"i have to say","i","i","i have","i have to","have","to","say"
"1238","i have to wonder if",2,"i have to wonder","if","i","i have","i have to","have","to","wonder"
"1239","i have to work on",2,"i have to work","on","i","i have","i have to","have","to","work"
"1240","i havent been able to",2,"i havent been able","to","i","i havent","i havent been","havent","been","able"
"1241","i havent been on here",2,"i havent been on","here","i","i havent","i havent been","havent","been","on"
"1242","i hope everyone had a",2,"i hope everyone had","a","i","i hope","i hope everyone","hope","everyone","had"
"1243","i hope it is the",2,"i hope it is","the","i","i hope","i hope it","hope","it","is"
"1244","i hope that you are",2,"i hope that you","are","i","i hope","i hope that","hope","that","you"
"1245","i hope you all have",2,"i hope you all","have","i","i hope","i hope you","hope","you","all"
"1246","i hope you are all",2,"i hope you are","all","i","i hope","i hope you","hope","you","are"
"1247","i hope you had a",2,"i hope you had","a","i","i hope","i hope you","hope","you","had"
"1248","i hope you see this",2,"i hope you see","this","i","i hope","i hope you","hope","you","see"
"1249","i just can not get",2,"i just can not","get","i","i just","i just can","just","can","not"
"1250","i just do not want",2,"i just do not","want","i","i just","i just do","just","do","not"
"1251","i just found out i",2,"i just found out","i","i","i just","i just found","just","found","out"
"1252","i just wanna go home",2,"i just wanna go","home","i","i just","i just wanna","just","wanna","go"
"1253","i just want to know",2,"i just want to","know","i","i just","i just want","just","want","to"
"1254","i just wish i knew",2,"i just wish i","knew","i","i just","i just wish","just","wish","i"
"1255","i knew this day would",2,"i knew this day","would","i","i knew","i knew this","knew","this","day"
"1256","i knew what was going",2,"i knew what was","going","i","i knew","i knew what","knew","what","was"
"1257","i know i am not",2,"i know i am","not","i","i know","i know i","know","i","am"
"1258","i know i will never",2,"i know i will","never","i","i know","i know i","know","i","will"
"1259","i know it will be",2,"i know it will","be","i","i know","i know it","know","it","will"
"1260","i know that it is",2,"i know that it","is","i","i know","i know that","know","that","it"
"1261","i know this guy is",2,"i know this guy","is","i","i know","i know this","know","this","guy"
"1262","i know what to do",2,"i know what to","do","i","i know","i know what","know","what","to"
"1263","i know who i am",2,"i know who i","am","i","i know","i know who","know","who","i"
"1264","i like the fact that",2,"i like the fact","that","i","i like","i like the","like","the","fact"
"1265","i like the sound of",2,"i like the sound","of","i","i like","i like the","like","the","sound"
"1266","i like to refer to",2,"i like to refer","to","i","i like","i like to","like","to","refer"
"1267","i love my children more",2,"i love my children","more","i","i love","i love my","love","my","children"
"1268","i love the way your",2,"i love the way","your","i","i love","i love the","love","the","way"
"1269","i love you and i",2,"i love you and","i","i","i love","i love you","love","you","and"
"1270","i love you more than",2,"i love you more","than","i","i love","i love you","love","you","more"
"1271","i made a new friend",2,"i made a new","friend","i","i made","i made a","made","a","new"
"1272","i made this card for",2,"i made this card","for","i","i made","i made this","made","this","card"
"1273","i need it to be",2,"i need it to","be","i","i need","i need it","need","it","to"
"1274","i need to do to",2,"i need to do","to","i","i need","i need to","need","to","do"
"1275","i need to find a",2,"i need to find","a","i","i need","i need to","need","to","find"
"1276","i need to talk to",2,"i need to talk","to","i","i need","i need to","need","to","talk"
"1277","i never get tired of",2,"i never get tired","of","i","i never","i never get","never","get","tired"
"1278","i never thought i could",2,"i never thought i","could","i","i never","i never thought","never","thought","i"
"1279","i on the other hand",2,"i on the other","hand","i","i on","i on the","on","the","other"
"1280","i realised that what i",2,"i realised that what","i","i","i realised","i realised that","realised","that","what"
"1281","i really did not know",2,"i really did not","know","i","i really","i really did","really","did","not"
"1282","i really do not have",2,"i really do not","have","i","i really","i really do","really","do","not"
"1283","i really do not think",2,"i really do not","think","i","i really","i really do","really","do","not"
"1284","i really do not wanna",2,"i really do not","wanna","i","i really","i really do","really","do","not"
"1285","i really wish i knew",2,"i really wish i","knew","i","i really","i really wish","really","wish","i"
"1286","i remember when i was",2,"i remember when i","was","i","i remember","i remember when","remember","when","i"
"1287","i say unto you what",2,"i say unto you","what","i","i say","i say unto","say","unto","you"
"1288","i see what you mean",2,"i see what you","mean","i","i see","i see what","see","what","you"
"1289","i should have gone to",2,"i should have gone","to","i","i should","i should have","should","have","gone"
"1290","i still do not get",2,"i still do not","get","i","i still","i still do","still","do","not"
"1291","i still havent recovered from",2,"i still havent recovered","from","i","i still","i still havent","still","havent","recovered"
"1292","i still need to do",2,"i still need to","do","i","i still","i still need","still","need","to"
"1293","i the only one who",2,"i the only one","who","i","i the","i the only","the","only","one"
"1294","i think about you i",2,"i think about you","i","i","i think","i think about","think","about","you"
"1295","i think i have made",2,"i think i have","made","i","i think","i think i","think","i","have"
"1296","i think i like it",2,"i think i like","it","i","i think","i think i","think","i","like"
"1297","i think i need to",2,"i think i need","to","i","i think","i think i","think","i","need"
"1298","i think i was just",2,"i think i was","just","i","i think","i think i","think","i","was"
"1299","i think it is because",2,"i think it is","because","i","i think","i think it","think","it","is"
"1300","i think it is important",2,"i think it is","important","i","i think","i think it","think","it","is"
"1301","i think it is really",2,"i think it is","really","i","i think","i think it","think","it","is"
"1302","i think it will be",2,"i think it will","be","i","i think","i think it","think","it","will"
"1303","i think that it is",2,"i think that it","is","i","i think","i think that","think","that","it"
"1304","i think this is going",2,"i think this is","going","i","i think","i think this","think","this","is"
"1305","i thought about it the",2,"i thought about it","the","i","i thought","i thought about","thought","about","it"
"1306","i thought i was i",2,"i thought i was","i","i","i thought","i thought i","thought","i","was"
"1307","i thought i would share",2,"i thought i would","share","i","i thought","i thought i","thought","i","would"
"1308","i wake up in the",2,"i wake up in","the","i","i wake","i wake up","wake","up","in"
"1309","i want to do is",2,"i want to do","is","i","i want","i want to","want","to","do"
"1310","i want to go to",2,"i want to go","to","i","i want","i want to","want","to","go"
"1311","i want to i can",2,"i want to i","can","i","i want","i want to","want","to","i"
"1312","i want to make a",2,"i want to make","a","i","i want","i want to","want","to","make"
"1313","i want to talk to",2,"i want to talk","to","i","i want","i want to","want","to","talk"
"1314","i want to tell you",2,"i want to tell","you","i","i want","i want to","want","to","tell"
"1315","i want you to be",2,"i want you to","be","i","i want","i want you","want","you","to"
"1316","i want you to know",2,"i want you to","know","i","i want","i want you","want","you","to"
"1317","i wanted to go to",2,"i wanted to go","to","i","i wanted","i wanted to","wanted","to","go"
"1318","i was a little girl",2,"i was a little","girl","i","i was","i was a","was","a","little"
"1319","i was able to find",2,"i was able to","find","i","i was","i was able","was","able","to"
"1320","i was able to watch",2,"i was able to","watch","i","i was","i was able","was","able","to"
"1321","i was excited about this",2,"i was excited about","this","i","i was","i was excited","was","excited","about"
"1322","i was going to do",2,"i was going to","do","i","i was","i was going","was","going","to"
"1323","i was going to go",2,"i was going to","go","i","i was","i was going","was","going","to"
"1324","i was going to have",2,"i was going to","have","i","i was","i was going","was","going","to"
"1325","i was going to make",2,"i was going to","make","i","i was","i was going","was","going","to"
"1326","i was in high school",2,"i was in high","school","i","i was","i was in","was","in","high"
"1327","i was lucky enough to",2,"i was lucky enough","to","i","i was","i was lucky","was","lucky","enough"
"1328","i was not able to",2,"i was not able","to","i","i was","i was not","was","not","able"
"1329","i was not the only",2,"i was not the","only","i","i was","i was not","was","not","the"
"1330","i was pointing to the",2,"i was pointing to","the","i","i was","i was pointing","was","pointing","to"
"1331","i went for a quick",2,"i went for a","quick","i","i went","i went for","went","for","a"
"1332","i went out for a",2,"i went out for","a","i","i went","i went out","went","out","for"
"1333","i will always love you",2,"i will always love","you","i","i will","i will always","will","always","love"
"1334","i will be doing a",2,"i will be doing","a","i","i will","i will be","will","be","doing"
"1335","i will be on the",2,"i will be on","the","i","i will","i will be","will","be","on"
"1336","i will be on with",2,"i will be on","with","i","i will","i will be","will","be","on"
"1337","i will never be able",2,"i will never be","able","i","i will","i will never","will","never","be"
"1338","i will never get back",2,"i will never get","back","i","i will","i will never","will","never","get"
"1339","i will not be able",2,"i will not be","able","i","i will","i will not","will","not","be"
"1340","i will not have to",2,"i will not have","to","i","i will","i will not","will","not","have"
"1341","i will see if i",2,"i will see if","i","i","i will","i will see","will","see","if"
"1342","i will see you guys",2,"i will see you","guys","i","i will","i will see","will","see","you"
"1343","i will send you the",2,"i will send you","the","i","i will","i will send","will","send","you"
"1344","i will tell you how",2,"i will tell you","how","i","i will","i will tell","will","tell","you"
"1345","i wish i knew how",2,"i wish i knew","how","i","i wish","i wish i","wish","i","knew"
"1346","i wish i knew why",2,"i wish i knew","why","i","i wish","i wish i","wish","i","knew"
"1347","i wish you the best",2,"i wish you the","best","i","i wish","i wish you","wish","you","the"
"1348","i wish you would see",2,"i wish you would","see","i","i wish","i wish you","wish","you","would"
"1349","i woke up this morning",2,"i woke up this","morning","i","i woke","i woke up","woke","up","this"
"1350","i would be willing to",2,"i would be willing","to","i","i would","i would be","would","be","willing"
"1351","i would have no idea",2,"i would have no","idea","i","i would","i would have","would","have","no"
"1352","i would like to get",2,"i would like to","get","i","i would","i would like","would","like","to"
"1353","i would like to say",2,"i would like to","say","i","i would","i would like","would","like","to"
"1354","i would love it if",2,"i would love it","if","i","i would","i would love","would","love","it"
"1355","i would love to know",2,"i would love to","know","i","i would","i would love","would","love","to"
"1356","i would love to meet",2,"i would love to","meet","i","i would","i would love","would","love","to"
"1357","i would not want to",2,"i would not want","to","i","i would","i would not","would","not","want"
"1358","idea popped into my head",2,"idea popped into my","head","idea","idea popped","idea popped into","popped","into","my"
"1359","if i can get a",2,"if i can get","a","if","if i","if i can","i","can","get"
"1360","if i do not get",2,"if i do not","get","if","if i","if i do","i","do","not"
"1361","if i ever make it",2,"if i ever make","it","if","if i","if i ever","i","ever","make"
"1362","if i needed to be",2,"if i needed to","be","if","if i","if i needed","i","needed","to"
"1363","if i say so myself",2,"if i say so","myself","if","if i","if i say","i","say","so"
"1364","if i wanted to go",2,"if i wanted to","go","if","if i","if i wanted","i","wanted","to"
"1365","if u dotheir in my",2,"if u dotheir in","my","if","if u","if u dotheir","u","dotheir","in"
"1366","if you are a fan",2,"if you are a","fan","if","if you","if you are","you","are","a"
"1367","if you are looking to",2,"if you are looking","to","if","if you","if you are","you","are","looking"
"1368","if you can not accept",2,"if you can not","accept","if","if you","if you can","you","can","not"
"1369","if you do not give",2,"if you do not","give","if","if you","if you do","you","do","not"
"1370","if you do not know",2,"if you do not","know","if","if you","if you do","you","do","not"
"1371","if you do not need",2,"if you do not","need","if","if you","if you do","you","do","not"
"1372","if you do not want",2,"if you do not","want","if","if you","if you do","you","do","not"
"1373","if you dont like me",2,"if you dont like","me","if","if you","if you dont","you","dont","like"
"1374","if you follow me i",2,"if you follow me","i","if","if you","if you follow","you","follow","me"
"1375","if you followed me back",2,"if you followed me","back","if","if you","if you followed","you","followed","me"
"1376","if you get a chance",2,"if you get a","chance","if","if you","if you get","you","get","a"
"1377","if you get the chance",2,"if you get the","chance","if","if you","if you get","you","get","the"
"1378","if you have been reading",2,"if you have been","reading","if","if you","if you have","you","have","been"
"1379","if you know what i",2,"if you know what","i","if","if you","if you know","you","know","what"
"1380","if you need any help",2,"if you need any","help","if","if you","if you need","you","need","any"
"1381","if you need anyone to",2,"if you need anyone","to","if","if you","if you need","you","need","anyone"
"1382","if you think that is",2,"if you think that","is","if","if you","if you think","you","think","that"
"1383","if you want to get",2,"if you want to","get","if","if you","if you want","you","want","to"
"1384","if you were in the",2,"if you were in","the","if","if you","if you were","you","were","in"
"1385","im tryna fish montana max",2,"im tryna fish montana","max","im","im tryna","im tryna fish","tryna","fish","montana"
"1386","imagine tweets it would mean",2,"imagine tweets it would","mean","imagine","imagine tweets","imagine tweets it","tweets","it","would"
"1387","in a few days but",2,"in a few days","but","in","in a","in a few","a","few","days"
"1388","in a few weeks it",2,"in a few weeks","it","in","in a","in a few","a","few","weeks"
"1389","in a row i am",2,"in a row i","am","in","in a","in a row","a","row","i"
"1390","in a row on the",2,"in a row on","the","in","in a","in a row","a","row","on"
"1391","in a way that is",2,"in a way that","is","in","in a","in a way","a","way","that"
"1392","in dc im tryna fish",2,"in dc im tryna","fish","in","in dc","in dc im","dc","im","tryna"
"1393","in fact i think they",2,"in fact i think","they","in","in fact","in fact i","fact","i","think"
"1394","in my life when i",2,"in my life when","i","in","in my","in my life","my","life","when"
"1395","in my minds eye i",2,"in my minds eye","i","in","in my","in my minds","my","minds","eye"
"1396","in one way or another",2,"in one way or","another","in","in one","in one way","one","way","or"
"1397","in order to get him",2,"in order to get","him","in","in order","in order to","order","to","get"
"1398","in the back of the",2,"in the back of","the","in","in the","in the back","the","back","of"
"1399","in the beginning of the",2,"in the beginning of","the","in","in the","in the beginning","the","beginning","of"
"1400","in the blink of an",2,"in the blink of","an","in","in the","in the blink","the","blink","of"
"1401","in the bottom of the",2,"in the bottom of","the","in","in the","in the bottom","the","bottom","of"
"1402","in the car with the",2,"in the car with","the","in","in the","in the car","the","car","with"
"1403","in the case of fiction",2,"in the case of","fiction","in","in the","in the case","the","case","of"
"1404","in the case of the",2,"in the case of","the","in","in the","in the case","the","case","of"
"1405","in the centre of the",2,"in the centre of","the","in","in the","in the centre","the","centre","of"
"1406","in the church of england",2,"in the church of","england","in","in the","in the church","the","church","of"
"1407","in the construction of the",2,"in the construction of","the","in","in the","in the construction","the","construction","of"
"1408","in the early th century",2,"in the early th","century","in","in the","in the early","the","early","th"
"1409","in the eyes of the",2,"in the eyes of","the","in","in the","in the eyes","the","eyes","of"
"1410","in the first place and",2,"in the first place","and","in","in the","in the first","the","first","place"
"1411","in the future when we",2,"in the future when","we","in","in the","in the future","the","future","when"
"1412","in the history of the",2,"in the history of","the","in","in the","in the history","the","history","of"
"1413","in the middle of nowhere",2,"in the middle of","nowhere","in","in the","in the middle","the","middle","of"
"1414","in the midst of a",2,"in the midst of","a","in","in the","in the midst","the","midst","of"
"1415","in the mood for some",2,"in the mood for","some","in","in the","in the mood","the","mood","for"
"1416","in the next week or",2,"in the next week","or","in","in the","in the next","the","next","week"
"1417","in the parking lot at",2,"in the parking lot","at","in","in the","in the parking","the","parking","lot"
"1418","in the past but i",2,"in the past but","i","in","in the","in the past","the","past","but"
"1419","in the process of learning",2,"in the process of","learning","in","in the","in the process","the","process","of"
"1420","in the process of making",2,"in the process of","making","in","in the","in the process","the","process","of"
"1421","in the s or s",2,"in the s or","s","in","in the","in the s","the","s","or"
"1422","in the same way that",2,"in the same way","that","in","in the","in the same","the","same","way"
"1423","in the shadow of a",2,"in the shadow of","a","in","in the","in the shadow","the","shadow","of"
"1424","in the shape of a",2,"in the shape of","a","in","in the","in the shape","the","shape","of"
"1425","in the spirit of the",2,"in the spirit of","the","in","in the","in the spirit","the","spirit","of"
"1426","in the wake of the",2,"in the wake of","the","in","in the","in the wake","the","wake","of"
"1427","in the way of the",2,"in the way of","the","in","in the","in the way","the","way","of"
"1428","in the wrong place at",2,"in the wrong place","at","in","in the","in the wrong","the","wrong","place"
"1429","instead where there is no",2,"instead where there is","no","instead","instead where","instead where there","where","there","is"
"1430","into the heart of the",2,"into the heart of","the","into","into the","into the heart","the","heart","of"
"1431","is a bit of an",2,"is a bit of","an","is","is a","is a bit","a","bit","of"
"1432","is a good way to",2,"is a good way","to","is","is a","is a good","a","good","way"
"1433","is a great place to",2,"is a great place","to","is","is a","is a great","a","great","place"
"1434","is a great way to",2,"is a great way","to","is","is a","is a great","a","great","way"
"1435","is a part of a",2,"is a part of","a","is","is a","is a part","a","part","of"
"1436","is a terrible thing to",2,"is a terrible thing","to","is","is a","is a terrible","a","terrible","thing"
"1437","is a thin line between",2,"is a thin line","between","is","is a","is a thin","a","thin","line"
"1438","is a waste of time",2,"is a waste of","time","is","is a","is a waste","a","waste","of"
"1439","is an important part of",2,"is an important part","of","is","is an","is an important","an","important","part"
"1440","is been dead for years",2,"is been dead for","years","is","is been","is been dead","been","dead","for"
"1441","is coming up next week",2,"is coming up next","week","is","is coming","is coming up","coming","up","next"
"1442","is crazy but heres my",2,"is crazy but heres","my","is","is crazy","is crazy but","crazy","but","heres"
"1443","is even better is that",2,"is even better is","that","is","is even","is even better","even","better","is"
"1444","is going to be on",2,"is going to be","on","is","is going","is going to","going","to","be"
"1445","is going to be that",2,"is going to be","that","is","is going","is going to","going","to","be"
"1446","is going to be the",2,"is going to be","the","is","is going","is going to","going","to","be"
"1447","is going to have to",2,"is going to have","to","is","is going","is going to","going","to","have"
"1448","is going to pay for",2,"is going to pay","for","is","is going","is going to","going","to","pay"
"1449","is going to start a",2,"is going to start","a","is","is going","is going to","going","to","start"
"1450","is gonna be one of",2,"is gonna be one","of","is","is gonna","is gonna be","gonna","be","one"
"1451","is i believe that someday",2,"is i believe that","someday","is","is i","is i believe","i","believe","that"
"1452","is it any wonder that",2,"is it any wonder","that","is","is it","is it any","it","any","wonder"
"1453","is just icing on the",2,"is just icing on","the","is","is just","is just icing","just","icing","on"
"1454","is making me want to",2,"is making me want","to","is","is making","is making me","making","me","want"
"1455","is much worse than a",2,"is much worse than","a","is","is much","is much worse","much","worse","than"
"1456","is my birthday today austin",2,"is my birthday today","austin","is","is my","is my birthday","my","birthday","today"
"1457","is no path and leave",2,"is no path and","leave","is","is no","is no path","no","path","and"
"1458","is no way we can",2,"is no way we","can","is","is no","is no way","no","way","we"
"1459","is not a bad thing",2,"is not a bad","thing","is","is not","is not a","not","a","bad"
"1460","is not as bad as",2,"is not as bad","as","is","is not","is not as","not","as","bad"
"1461","is not even close to",2,"is not even close","to","is","is not","is not even","not","even","close"
"1462","is not going to be",2,"is not going to","be","is","is not","is not going","not","going","to"
"1463","is not that i am",2,"is not that i","am","is","is not","is not that","not","that","i"
"1464","is not the first time",2,"is not the first","time","is","is not","is not the","not","the","first"
"1465","is not the same as",2,"is not the same","as","is","is not","is not the","not","the","same"
"1466","is one of the best",2,"is one of the","best","is","is one","is one of","one","of","the"
"1467","is one of the many",2,"is one of the","many","is","is one","is one of","one","of","the"
"1468","is over smile because it",2,"is over smile because","it","is","is over","is over smile","over","smile","because"
"1469","is right around the corner",2,"is right around the","corner","is","is right","is right around","right","around","the"
"1470","is said to have been",2,"is said to have","been","is","is said","is said to","said","to","have"
"1471","is simply too much to",2,"is simply too much","to","is","is simply","is simply too","simply","too","much"
"1472","is supposed to be the",2,"is supposed to be","the","is","is supposed","is supposed to","supposed","to","be"
"1473","is that at this point",2,"is that at this","point","is","is that","is that at","that","at","this"
"1474","is the end of the",2,"is the end of","the","is","is the","is the end","the","end","of"
"1475","is the first time that",2,"is the first time","that","is","is the","is the first","the","first","time"
"1476","is the most amazing person",2,"is the most amazing","person","is","is the","is the most","the","most","amazing"
"1477","is the only thing i",2,"is the only thing","i","is","is the","is the only","the","only","thing"
"1478","is the only way to",2,"is the only way","to","is","is the","is the only","the","only","way"
"1479","is the time for you",2,"is the time for","you","is","is the","is the time","the","time","for"
"1480","is time for a new",2,"is time for a","new","is","is time","is time for","time","for","a"
"1481","is to come in the",2,"is to come in","the","is","is to","is to come","to","come","in"
"1482","is too much for me",2,"is too much for","me","is","is too","is too much","too","much","for"
"1483","is what happens when you",2,"is what happens when","you","is","is what","is what happens","what","happens","when"
"1484","is why i do not",2,"is why i do","not","is","is why","is why i","why","i","do"
"1485","is with ghosts everyone talks",2,"is with ghosts everyone","talks","is","is with","is with ghosts","with","ghosts","everyone"
"1486","is with true love as",2,"is with true love","as","is","is with","is with true","with","true","love"
"1487","it but few have seen",2,"it but few have","seen","it","it but","it but few","but","few","have"
"1488","it but i am not",2,"it but i am","not","it","it but","it but i","but","i","am"
"1489","it but i do not",2,"it but i do","not","it","it but","it but i","but","i","do"
"1490","it could just be my",2,"it could just be","my","it","it could","it could just","could","just","be"
"1491","it does not seem like",2,"it does not seem","like","it","it does","it does not","does","not","seem"
"1492","it has something to do",2,"it has something to","do","it","it has","it has something","has","something","to"
"1493","it hope all is well",2,"it hope all is","well","it","it hope","it hope all","hope","all","is"
"1494","it is a lot of",2,"it is a lot","of","it","it is","it is a","is","a","lot"
"1495","it is a matter of",2,"it is a matter","of","it","it is","it is a","is","a","matter"
"1496","it is a personality thing",2,"it is a personality","thing","it","it is","it is a","is","a","personality"
"1497","it is a sad day",2,"it is a sad","day","it","it is","it is a","is","a","sad"
"1498","it is about that time",2,"it is about that","time","it","it is","it is about","is","about","that"
"1499","it is always great to",2,"it is always great","to","it","it is","it is always","is","always","great"
"1500","it is been a long",2,"it is been a","long","it","it is","it is been","is","been","a"
"1501","it is been a while",2,"it is been a","while","it","it is","it is been","is","been","a"
"1502","it is better to be",2,"it is better to","be","it","it is","it is better","is","better","to"
"1503","it is by no means",2,"it is by no","means","it","it is","it is by","is","by","no"
"1504","it is difficult to get",2,"it is difficult to","get","it","it is","it is difficult","is","difficult","to"
"1505","it is finally here the",2,"it is finally here","the","it","it is","it is finally","is","finally","here"
"1506","it is good to be",2,"it is good to","be","it","it is","it is good","is","good","to"
"1507","it is interesting to see",2,"it is interesting to","see","it","it is","it is interesting","is","interesting","to"
"1508","it is ironic that my",2,"it is ironic that","my","it","it is","it is ironic","is","ironic","that"
"1509","it is just that i",2,"it is just that","i","it","it is","it is just","is","just","that"
"1510","it is like a day",2,"it is like a","day","it","it is","it is like","is","like","a"
"1511","it is like to be",2,"it is like to","be","it","it is","it is like","is","like","to"
"1512","it is my birthday today",2,"it is my birthday","today","it","it is","it is my","is","my","birthday"
"1513","it is not because i",2,"it is not because","i","it","it is","it is not","is","not","because"
"1514","it is not quite as",2,"it is not quite","as","it","it is","it is not","is","not","quite"
"1515","it is not surprising that",2,"it is not surprising","that","it","it is","it is not","is","not","surprising"
"1516","it is not the same",2,"it is not the","same","it","it is","it is not","is","not","the"
"1517","it is ok that i",2,"it is ok that","i","it","it is","it is ok","is","ok","that"
"1518","it is our job to",2,"it is our job","to","it","it is","it is our","is","our","job"
"1519","it is over smile because",2,"it is over smile","because","it","it is","it is over","is","over","smile"
"1520","it is pretty easy to",2,"it is pretty easy","to","it","it is","it is pretty","is","pretty","easy"
"1521","it is really hard to",2,"it is really hard","to","it","it is","it is really","is","really","hard"
"1522","it is so easy to",2,"it is so easy","to","it","it is","it is so","is","so","easy"
"1523","it is so nice to",2,"it is so nice","to","it","it is","it is so","is","so","nice"
"1524","it is so simple and",2,"it is so simple","and","it","it is","it is so","is","so","simple"
"1525","it is the st of",2,"it is the st","of","it","it is","it is the","is","the","st"
"1526","it is the time of",2,"it is the time","of","it","it is","it is the","is","the","time"
"1527","it is time for a",2,"it is time for","a","it","it is","it is time","is","time","for"
"1528","it is time to start",2,"it is time to","start","it","it is","it is time","is","time","to"
"1529","it is up and running",2,"it is up and","running","it","it is","it is up","is","up","and"
"1530","it is with ghosts everyone",2,"it is with ghosts","everyone","it","it is","it is with","is","with","ghosts"
"1531","it is with true love",2,"it is with true","love","it","it is","it is with","is","with","true"
"1532","it must have been a",2,"it must have been","a","it","it must","it must have","must","have","been"
"1533","it over and over again",2,"it over and over","again","it","it over","it over and","over","and","over"
"1534","it seems to me that",2,"it seems to me","that","it","it seems","it seems to","seems","to","me"
"1535","it should be noted that",2,"it should be noted","that","it","it should","it should be","should","be","noted"
"1536","it the way i did",2,"it the way i","did","it","it the","it the way","the","way","i"
"1537","it too so if you",2,"it too so if","you","it","it too","it too so","too","so","if"
"1538","it took a bit of",2,"it took a bit","of","it","it took","it took a","took","a","bit"
"1539","it turned out to be",2,"it turned out to","be","it","it turned","it turned out","turned","out","to"
"1540","it was a great night",2,"it was a great","night","it","it was","it was a","was","a","great"
"1541","it was a great show",2,"it was a great","show","it","it was","it was a","was","a","great"
"1542","it was a pleasure to",2,"it was a pleasure","to","it","it was","it was a","was","a","pleasure"
"1543","it was all worth it",2,"it was all worth","it","it","it was","it was all","was","all","worth"
"1544","it was not for the",2,"it was not for","the","it","it was","it was not","was","not","for"
"1545","it was not the first",2,"it was not the","first","it","it was","it was not","was","not","the"
"1546","it was one of those",2,"it was one of","those","it","it was","it was one","was","one","of"
"1547","it was really great seeing",2,"it was really great","seeing","it","it was","it was really","was","really","great"
"1548","it was so much fun",2,"it was so much","fun","it","it was","it was so","was","so","much"
"1549","it was the first of",2,"it was the first","of","it","it was","it was the","was","the","first"
"1550","it when you are mad",2,"it when you are","mad","it","it when","it when you","when","you","are"
"1551","it will be fun to",2,"it will be fun","to","it","it will","it will be","will","be","fun"
"1552","it would be great if",2,"it would be great","if","it","it would","it would be","would","be","great"
"1553","it would be the most",2,"it would be the","most","it","it would","it would be","would","be","the"
"1554","it would make my day",2,"it would make my","day","it","it would","it would make","would","make","my"
"1555","it would mean alot if",2,"it would mean alot","if","it","it would","it would mean","would","mean","alot"
"1556","it would take a long",2,"it would take a","long","it","it would","it would take","would","take","a"
"1557","its a good thing i",2,"its a good thing","i","its","its a","its a good","a","good","thing"
"1558","its fair to say that",2,"its fair to say","that","its","its fair","its fair to","fair","to","say"
"1559","its time for me to",2,"its time for me","to","its","its time","its time for","time","for","me"
"1560","just a few more days",2,"just a few more","days","just","just a","just a few","a","few","more"
"1561","just a few more hours",2,"just a few more","hours","just","just a","just a few","a","few","more"
"1562","just a matter of time",2,"just a matter of","time","just","just a","just a matter","a","matter","of"
"1563","just accept that you are",2,"just accept that you","are","just","just accept","just accept that","accept","that","you"
"1564","just as well as the",2,"just as well as","the","just","just as","just as well","as","well","as"
"1565","just could not wait to",2,"just could not wait","to","just","just could","just could not","could","not","wait"
"1566","just do not get it",2,"just do not get","it","just","just do","just do not","do","not","get"
"1567","just do not know if",2,"just do not know","if","just","just do","just do not","do","not","know"
"1568","just do not want to",2,"just do not want","to","just","just do","just do not","do","not","want"
"1569","just icing on the cake",2,"just icing on the","cake","just","just icing","just icing on","icing","on","the"
"1570","just one of those days",2,"just one of those","days","just","just one","just one of","one","of","those"
"1571","just realized i have to",2,"just realized i have","to","just","just realized","just realized i","realized","i","have"
"1572","just so you know i",2,"just so you know","i","just","just so","just so you","so","you","know"
"1573","just the way it is",2,"just the way it","is","just","just the","just the way","the","way","it"
"1574","just want to go home",2,"just want to go","home","just","just want","just want to","want","to","go"
"1575","just wanted to let you",2,"just wanted to let","you","just","just wanted","just wanted to","wanted","to","let"
"1576","just went on and on",2,"just went on and","on","just","just went","just went on","went","on","and"
"1577","keep a close eye on",2,"keep a close eye","on","keep","keep a","keep a close","a","close","eye"
"1578","keep me in the loop",2,"keep me in the","loop","keep","keep me","keep me in","me","in","the"
"1579","knew this day would come",2,"knew this day would","come","knew","knew this","knew this day","this","day","would"
