"","word","freq","first_Nmin1","last"
"5372","will the",12,"will","the"
"5373","with friends",12,"with","friends"
"5374","with only",12,"with","only"
"5375","with which",12,"with","which"
"5376","women in",12,"women","in"
"5377","women who",12,"women","who"
"5378","words to",12,"words","to"
"5379","working at",12,"working","at"
"5380","world to",12,"world","to"
"5381","worse than",12,"worse","than"
"5382","would always",12,"would","always"
"5383","would been",12,"would","been"
"5384","would come",12,"would","come"
"5385","write about",12,"write","about"
"5386","writing a",12,"writing","a"
"5387","year in",12,"year","in"
"5388","year to",12,"year","to"
"5389","you been",12,"you","been"
"5390","you gonna",12,"you","gonna"
"5391","your child",12,"your","child"
"5392","your time",12,"your","time"
"5393","a a",11,"a","a"
"5394","a b",11,"a","b"
"5395","a brand",11,"a","brand"
"5396","a computer",11,"a","computer"
"5397","a decent",11,"a","decent"
"5398","a degree",11,"a","degree"
"5399","a film",11,"a","film"
"5400","a higher",11,"a","higher"
"5401","a lil",11,"a","lil"
"5402","a line",11,"a","line"
"5403","a recipe",11,"a","recipe"
"5404","a record",11,"a","record"
"5405","a rock",11,"a","rock"
"5406","a school",11,"a","school"
"5407","a serious",11,"a","serious"
"5408","a step",11,"a","step"
"5409","a strange",11,"a","strange"
"5410","a test",11,"a","test"
"5411","a thousand",11,"a","thousand"
"5412","a tiny",11,"a","tiny"
"5413","a tough",11,"a","tough"
"5414","a visit",11,"a","visit"
"5415","a win",11,"a","win"
"5416","about two",11,"about","two"
"5417","across a",11,"across","a"
"5418","act of",11,"act","of"
"5419","after my",11,"after","my"
"5420","after they",11,"after","they"
"5421","after this",11,"after","this"
"5422","again to",11,"again","to"
"5423","all and",11,"all","and"
"5424","already have",11,"already","have"
"5425","although the",11,"although","the"
"5426","am excited",11,"am","excited"
"5427","amounts of",11,"amounts","of"
"5428","an agent",11,"an","agent"
"5429","an early",11,"an","early"
"5430","and asked",11,"and","asked"
"5431","and being",11,"and","being"
"5432","and beyond",11,"and","beyond"
"5433","and buy",11,"and","buy"
"5434","and clean",11,"and","clean"
"5435","and dont",11,"and","dont"
"5436","and healthy",11,"and","healthy"
"5437","and left",11,"and","left"
"5438","and play",11,"and","play"
"5439","and ready",11,"and","ready"
"5440","and things",11,"and","things"
"5441","any time",11,"any","time"
"5442","anything i",11,"anything","i"
"5443","anything that",11,"anything","that"
"5444","anyway i",11,"anyway","i"
"5445","are amazing",11,"are","amazing"
"5446","are awesome",11,"are","awesome"
"5447","are giving",11,"are","giving"
"5448","are often",11,"are","often"
"5449","are one",11,"are","one"
"5450","are people",11,"are","people"
"5451","are well",11,"are","well"
"5452","around here",11,"around","here"
"5453","as is",11,"as","is"
"5454","as though",11,"as","though"
"5455","as your",11,"as","your"
"5456","asked if",11,"asked","if"
"5457","at him",11,"at","him"
"5458","at last",11,"at","last"
"5459","at with",11,"at","with"
"5460","attempting to",11,"attempting","to"
"5461","available to",11,"available","to"
"5462","be around",11,"be","around"
"5463","be awesome",11,"be","awesome"
"5464","be careful",11,"be","careful"
"5465","be hard",11,"be","hard"
"5466","be seen",11,"be","seen"
"5467","beauty of",11,"beauty","of"
"5468","became the",11,"became","the"
"5469","because its",11,"because","its"
"5470","becomes a",11,"becomes","a"
"5471","been here",11,"been","here"
"5472","been reading",11,"been","reading"
"5473","being so",11,"being","so"
"5474","best friends",11,"best","friends"
"5475","best thing",11,"best","thing"
"5476","book in",11,"book","in"
"5477","bring it",11,"bring","it"
"5478","build a",11,"build","a"
"5479","but never",11,"but","never"
"5480","but of",11,"but","of"
"5481","but sometimes",11,"but","sometimes"
"5482","by now",11,"by","now"
"5483","by your",11,"by","your"
"5484","came back",11,"came","back"
"5485","can add",11,"can","add"
"5486","can give",11,"can","give"
"5487","can start",11,"can","start"
"5488","case you",11,"case","you"
"5489","catching up",11,"catching","up"
"5490","caught up",11,"caught","up"
"5491","change and",11,"change","and"
"5492","civil war",11,"civil","war"
"5493","clean up",11,"clean","up"
"5494","coffee and",11,"coffee","and"
"5495","come by",11,"come","by"
"5496","come over",11,"come","over"
"5497","consider the",11,"consider","the"
"5498","corner of",11,"corner","of"
"5499","creating a",11,"creating","a"
"5500","day on",11,"day","on"
"5501","day or",11,"day","or"
"5502","day that",11,"day","that"
"5503","death and",11,"death","and"
"5504","decision to",11,"decision","to"
"5505","department of",11,"department","of"
"5506","deserve it",11,"deserve","it"
"5507","design team",11,"design","team"
"5508","did his",11,"did","his"
"5509","did we",11,"did","we"
"5510","different from",11,"different","from"
"5511","do and",11,"do","and"
"5512","dog and",11,"dog","and"
"5513","doing that",11,"doing","that"
"5514","done so",11,"done","so"
"5515","dont like",11,"dont","like"
"5516","effort to",11,"effort","to"
"5517","else i",11,"else","i"
"5518","else to",11,"else","to"
"5519","email address",11,"email","address"
"5520","end i",11,"end","i"
"5521","ever had",11,"ever","had"
"5522","every other",11,"every","other"
"5523","everything you",11,"everything","you"
"5524","experience in",11,"experience","in"
"5525","experience is",11,"experience","is"
"5526","expression of",11,"expression","of"
"5527","face and",11,"face","and"
"5528","familiar with",11,"familiar","with"
"5529","feeling that",11,"feeling","that"
"5530","feels good",11,"feels","good"
"5531","fell asleep",11,"fell","asleep"
"5532","fell in",11,"fell","in"
"5533","few things",11,"few","things"
"5534","first one",11,"first","one"
"5535","followed me",11,"followed","me"
"5536","for anyone",11,"for","anyone"
"5537","for life",11,"for","life"
"5538","for months",11,"for","months"
"5539","for so",11,"for","so"
"5540","for summer",11,"for","summer"
"5541","for two",11,"for","two"
"5542","for u",11,"for","u"
"5543","for which",11,"for","which"
"5544","for women",11,"for","women"
"5545","found myself",11,"found","myself"
"5546","freedom to",11,"freedom","to"
"5547","friends are",11,"friends","are"
"5548","friends at",11,"friends","at"
"5549","from what",11,"from","what"
"5550","fun in",11,"fun","in"
"5551","game was",11,"game","was"
"5552","gay marriage",11,"gay","marriage"
"5553","get all",11,"get","all"
"5554","get her",11,"get","her"
"5555","get over",11,"get","over"
"5556","get through",11,"get","through"
"5557","girl that",11,"girl","that"
"5558","give them",11,"give","them"
"5559","given a",11,"given","a"
"5560","giving away",11,"giving","away"
"5561","giving me",11,"giving","me"
"5562","gonna get",11,"gonna","get"
"5563","good food",11,"good","food"
"5564","good one",11,"good","one"
"5565","good work",11,"good","work"
"5566","got an",11,"got","an"
"5567","got out",11,"got","out"
"5568","gotta love",11,"gotta","love"
"5569","grateful for",11,"grateful","for"
"5570","great deal",11,"great","deal"
"5571","great start",11,"great","start"
"5572","great week",11,"great","week"
"5573","grocery shopping",11,"grocery","shopping"
"5574","had already",11,"had","already"
"5575","had never",11,"had","never"
"5576","had one",11,"had","one"
"5577","hanging with",11,"hanging","with"
"5578","happy and",11,"happy","and"
"5579","happy for",11,"happy","for"
"5580","happy thanksgiving",11,"happy","thanksgiving"
"5581","harder to",11,"harder","to"
"5582","has already",11,"has","already"
"5583","has its",11,"has","its"
"5584","has just",11,"has","just"
"5585","have much",11,"have","much"
"5586","have something",11,"have","something"
"5587","having an",11,"having","an"
"5588","he asked",11,"he","asked"
"5589","he knows",11,"he","knows"
"5590","he looked",11,"he","looked"
"5591","he may",11,"he","may"
"5592","heard that",11,"heard","that"
"5593","help from",11,"help","from"
"5594","her so",11,"her","so"
"5595","her that",11,"her","that"
"5596","here you",11,"here","you"
"5597","hi i",11,"hi","i"
"5598","him i",11,"him","i"
"5599","his eyes",11,"his","eyes"
"5600","his new",11,"his","new"
"5601","his way",11,"his","way"
"5602","hit a",11,"hit","a"
"5603","hopefully i",11,"hopefully","i"
"5604","hours and",11,"hours","and"
"5605","how old",11,"how","old"
"5606","how well",11,"how","well"
"5607","human rights",11,"human","rights"
"5608","i almost",11,"i","almost"
"5609","i checked",11,"i","checked"
"5610","i highly",11,"i","highly"
"5611","i hit",11,"i","hit"
"5612","i kept",11,"i","kept"
"5613","i received",11,"i","received"
"5614","i recently",11,"i","recently"
"5615","i sat",11,"i","sat"
"5616","i seriously",11,"i","seriously"
"5617","i stopped",11,"i","stopped"
"5618","i the",11,"i","the"
"5619","id like",11,"id","like"
"5620","idea that",11,"idea","that"
"5621","idea to",11,"idea","to"
"5622","if any",11,"if","any"
"5623","im gonna",11,"im","gonna"
"5624","impact on",11,"impact","on"
"5625","impossible to",11,"impossible","to"
"5626","in february",11,"in","february"
"5627","in half",11,"in","half"
"5628","in hand",11,"in","hand"
"5629","in me",11,"in","me"
"5630","in search",11,"in","search"
"5631","in south",11,"in","south"
"5632","interesting to",11,"interesting","to"
"5633","into one",11,"into","one"
"5634","is based",11,"is","based"
"5635","is kind",11,"is","kind"
"5636","is open",11,"is","open"
"5637","is part",11,"is","part"
"5638","is raining",11,"is","raining"
"5639","is usually",11,"is","usually"
"5640","it became",11,"it","became"
"5641","it easy",11,"it","easy"
"5642","it got",11,"it","got"
"5643","it happens",11,"it","happens"
"5644","it its",11,"it","its"
"5645","it only",11,"it","only"
"5646","it says",11,"it","says"
"5647","it started",11,"it","started"
"5648","it very",11,"it","very"
"5649","job i",11,"job","i"
"5650","just being",11,"just","being"
"5651","just bought",11,"just","bought"
"5652","just saying",11,"just","saying"
"5653","just take",11,"just","take"
"5654","just told",11,"just","told"
"5655","just went",11,"just","went"
"5656","keep in",11,"keep","in"
"5657","know and",11,"know","and"
"5658","know your",11,"know","your"
"5659","knows how",11,"knows","how"
"5660","last chance",11,"last","chance"
"5661","last nights",11,"last","nights"
"5662","last tweet",11,"last","tweet"
"5663","last weekend",11,"last","weekend"
"5664","lately i",11,"lately","i"
"5665","later on",11,"later","on"
"5666","learned a",11,"learned","a"
"5667","least the",11,"least","the"
"5668","leaving the",11,"leaving","the"
"5669","left a",11,"left","a"
"5670","let her",11,"let","her"
"5671","life as",11,"life","as"
"5672","like and",11,"like","and"
"5673","lives and",11,"lives","and"
"5674","living room",11,"living","room"
"5675","long and",11,"long","and"
"5676","long i",11,"long","i"
"5677","look back",11,"look","back"
"5678","lost a",11,"lost","a"
"5679","love him",11,"love","him"
"5680","love i",11,"love","i"
"5681","luck with",11,"luck","with"
"5682","mad men",11,"mad","men"
"5683","made by",11,"made","by"
"5684","make their",11,"make","their"
"5685","me do",11,"me","do"
"5686","me off",11,"me","off"
"5687","me smile",11,"me","smile"
"5688","me then",11,"me","then"
"5689","me think",11,"me","think"
"5690","mean to",11,"mean","to"
"5691","measure of",11,"measure","of"
"5692","meeting with",11,"meeting","with"
"5693","member of",11,"member","of"
"5694","might as",11,"might","as"
"5695","might not",11,"might","not"
"5696","mind i",11,"mind","i"
"5697","moment to",11,"moment","to"
"5698","months of",11,"months","of"
"5699","more followers",11,"more","followers"
"5700","more on",11,"more","on"
"5701","most part",11,"most","part"
"5702","much time",11,"much","time"
"5703","my big",11,"my","big"
"5704","my book",11,"my","book"
"5705","my brain",11,"my","brain"
"5706","my card",11,"my","card"
"5707","my cousin",11,"my","cousin"
"5708","my facebook",11,"my","facebook"
"5709","my personal",11,"my","personal"
"5710","my team",11,"my","team"
"5711","my two",11,"my","two"
"5712","need more",11,"need","more"
"5713","need the",11,"need","the"
"5714","needed a",11,"needed","a"
"5715","never really",11,"never","really"
"5716","next two",11,"next","two"
"5717","no need",11,"no","need"
"5718","no place",11,"no","place"
"5719","north carolina",11,"north","carolina"
"5720","not feeling",11,"not","feeling"
"5721","not getting",11,"not","getting"
"5722","not matter",11,"not","matter"
"5723","not play",11,"not","play"
"5724","not put",11,"not","put"
"5725","not this",11,"not","this"
"5726","nothing more",11,"nothing","more"
"5727","now im",11,"now","im"
"5728","now its",11,"now","its"
"5729","of america",11,"of","america"
"5730","of bed",11,"of","bed"
"5731","of books",11,"of","books"
"5732","of control",11,"of","control"
"5733","of days",11,"of","days"
"5734","of dollars",11,"of","dollars"
"5735","of last",11,"of","last"
"5736","of myself",11,"of","myself"
"5737","of nature",11,"of","nature"
"5738","of old",11,"of","old"
"5739","of reading",11,"of","reading"
"5740","of someone",11,"of","someone"
"5741","of today",11,"of","today"
"5742","of where",11,"of","where"
"5743","off on",11,"off","on"
"5744","oil and",11,"oil","and"
"5745","okay i",11,"okay","i"
"5746","old man",11,"old","man"
"5747","on another",11,"on","another"
"5748","on being",11,"on","being"
"5749","on sale",11,"on","sale"
"5750","on wednesday",11,"on","wednesday"
"5751","one from",11,"one","from"
"5752","one night",11,"one","night"
"5753","one person",11,"one","person"
"5754","one year",11,"one","year"
"5755","or as",11,"or","as"
"5756","our country",11,"our","country"
"5757","our website",11,"our","website"
"5758","out his",11,"out","his"
"5759","out so",11,"out","so"
"5760","over again",11,"over","again"
"5761","over in",11,"over","in"
"5762","period of",11,"period","of"
"5763","person to",11,"person","to"
"5764","place that",11,"place","that"
"5765","played a",11,"played","a"
"5766","playing a",11,"playing","a"
"5767","pm on",11,"pm","on"
"5768","point is",11,"point","is"
"5769","post is",11,"post","is"
"5770","praying for",11,"praying","for"
"5771","prepared to",11,"prepared","to"
"5772","probably be",11,"probably","be"
"5773","purpose of",11,"purpose","of"
"5774","question i",11,"question","i"
"5775","question of",11,"question","of"
"5776","quick to",11,"quick","to"
"5777","really that",11,"really","that"
"5778","really was",11,"really","was"
"5779","reason why",11,"reason","why"
"5780","received the",11,"received","the"
"5781","refused to",11,"refused","to"
"5782","responsible for",11,"responsible","for"
"5783","rt this",11,"rt","this"
"5784","running the",11,"running","the"
"5785","saw it",11,"saw","it"
"5786","say no",11,"say","no"
"5787","says he",11,"says","he"
"5788","says the",11,"says","the"
"5789","school for",11,"school","for"
"5790","see all",11,"see","all"
"5791","see i",11,"see","i"
"5792","send you",11,"send","you"
"5793","sense to",11,"sense","to"
"5794","shall be",11,"shall","be"
"5795","she made",11,"she","made"
"5796","should follow",11,"should","follow"
"5797","show on",11,"show","on"
"5798","show tonight",11,"show","tonight"
"5799","shut down",11,"shut","down"
"5800","since they",11,"since","they"
"5801","small and",11,"small","and"
"5802","so are",11,"so","are"
"5803","so fun",11,"so","fun"
"5804","so great",11,"so","great"
"5805","so how",11,"so","how"
"5806","some other",11,"some","other"
"5807","some very",11,"some","very"
"5808","something in",11,"something","in"
"5809","something new",11,"something","new"
"5810","soon be",11,"soon","be"
"5811","sorry about",11,"sorry","about"
"5812","sound like",11,"sound","like"
"5813","sound of",11,"sound","of"
"5814","sounds good",11,"sounds","good"
"5815","speak to",11,"speak","to"
"5816","spend the",11,"spend","the"
"5817","start by",11,"start","by"
"5818","starts at",11,"starts","at"
"5819","states that",11,"states","that"
"5820","steve jobs",11,"steve","jobs"
"5821","still the",11,"still","the"
"5822","stop and",11,"stop","and"
"5823","sunday night",11,"sunday","night"
"5824","sure they",11,"sure","they"
"5825","sure we",11,"sure","we"
"5826","take this",11,"take","this"
"5827","telling you",11,"telling","you"
"5828","than in",11,"than","in"
"5829","than they",11,"than","they"
"5830","than this",11,"than","this"
"5831","thanks again",11,"thanks","again"
"5832","that at",11,"that","at"
"5833","that did",11,"that","did"
"5834","that her",11,"that","her"
"5835","that looks",11,"that","looks"
"5836","that most",11,"that","most"
"5837","that on",11,"that","on"
"5838","that out",11,"that","out"
"5839","that says",11,"that","says"
"5840","that so",11,"that","so"
"5841","that that",11,"that","that"
"5842","that those",11,"that","those"
"5843","the am",11,"the","am"
"5844","the and",11,"the","and"
"5845","the article",11,"the","article"
"5846","the arts",11,"the","arts"
"5847","the camera",11,"the","camera"
"5848","the campaign",11,"the","campaign"
"5849","the club",11,"the","club"
"5850","the conversation",11,"the","conversation"
"5851","the couch",11,"the","couch"
"5852","the couple",11,"the","couple"
"5853","the district",11,"the","district"
"5854","the dress",11,"the","dress"
"5855","the effect",11,"the","effect"
"5856","the english",11,"the","english"
"5857","the french",11,"the","french"
"5858","the golden",11,"the","golden"
"5859","the grass",11,"the","grass"
"5860","the hood",11,"the","hood"
"5861","the language",11,"the","language"
"5862","the launch",11,"the","launch"
"5863","the matter",11,"the","matter"
"5864","the mood",11,"the","mood"
"5865","the open",11,"the","open"
"5866","the opposite",11,"the","opposite"
"5867","the play",11,"the","play"
"5868","the political",11,"the","political"
"5869","the possibility",11,"the","possibility"
"5870","the pot",11,"the","pot"
"5871","the pressure",11,"the","pressure"
"5872","the relationship",11,"the","relationship"
"5873","the risk",11,"the","risk"
"5874","the secret",11,"the","secret"
"5875","the staff",11,"the","staff"
"5876","the stage",11,"the","stage"
"5877","the times",11,"the","times"
"5878","the trip",11,"the","trip"
"5879","the tv",11,"the","tv"
"5880","the up",11,"the","up"
"5881","the value",11,"the","value"
"5882","the wild",11,"the","wild"
"5883","the women",11,"the","women"
"5884","the yard",11,"the","yard"
"5885","then my",11,"then","my"
"5886","there has",11,"there","has"
"5887","there have",11,"there","have"
"5888","there the",11,"there","the"
"5889","they look",11,"they","look"
"5890","they only",11,"they","only"
"5891","thing and",11,"thing","and"
"5892","think is",11,"think","is"
"5893","this as",11,"this","as"
"5894","this it",11,"this","it"
"5895","this the",11,"this","the"
"5896","this thing",11,"this","thing"
"5897","three years",11,"three","years"
"5898","through your",11,"through","your"
"5899","till i",11,"till","i"
"5900","till the",11,"till","the"
"5901","time as",11,"time","as"
"5902","time they",11,"time","they"
"5903","to anyone",11,"to","anyone"
"5904","to back",11,"to","back"
"5905","to cover",11,"to","cover"
"5906","to earn",11,"to","earn"
"5907","to expect",11,"to","expect"
"5908","to finally",11,"to","finally"
"5909","to head",11,"to","head"
"5910","to how",11,"to","how"
"5911","to many",11,"to","many"
"5912","to match",11,"to","match"
"5913","to order",11,"to","order"
"5914","to practice",11,"to","practice"
"5915","to really",11,"to","really"
"5916","to relax",11,"to","relax"
"5917","to remove",11,"to","remove"
"5918","to rock",11,"to","rock"
"5919","to study",11,"to","study"
"5920","to to",11,"to","to"
"5921","to twitter",11,"to","twitter"
"5922","to wonder",11,"to","wonder"
"5923","tonight and",11,"tonight","and"
"5924","tonight is",11,"tonight","is"
"5925","took it",11,"took","it"
"5926","took my",11,"took","my"
"5927","true love",11,"true","love"
"5928","try not",11,"try","not"
"5929","turn off",11,"turn","off"
"5930","turn on",11,"turn","on"
"5931","two months",11,"two","months"
"5932","u and",11,"u","and"
"5933","u guys",11,"u","guys"
"5934","under a",11,"under","a"
"5935","understand that",11,"understand","that"
"5936","until it",11,"until","it"
"5937","up of",11,"up","of"
"5938","us i",11,"us","i"
"5939","very important",11,"very","important"
"5940","very little",11,"very","little"
"5941","w a",11,"w","a"
"5942","waiting to",11,"waiting","to"
"5943","walk around",11,"walk","around"
"5944","want my",11,"want","my"
"5945","was being",11,"was","being"
"5946","was dead",11,"was","dead"
"5947","watched a",11,"watched","a"
"5948","way and",11,"way","and"
"5949","way from",11,"way","from"
"5950","we come",11,"we","come"
"5951","we look",11,"we","look"
"5952","we met",11,"we","met"
"5953","we might",11,"we","might"
"5954","we now",11,"we","now"
"5955","week the",11,"week","the"
"5956","weekend is",11,"weekend","is"
"5957","well for",11,"well","for"
"5958","well so",11,"well","so"
"5959","went through",11,"went","through"
"5960","were able",11,"were","able"
"5961","were just",11,"were","just"
"5962","were made",11,"were","made"
"5963","were very",11,"were","very"
"5964","what time",11,"what","time"
"5965","whatever the",11,"whatever","the"
"5966","when do",11,"when","do"
"5967","when its",11,"when","its"
"5968","whenever i",11,"whenever","i"
"5969","whether the",11,"whether","the"
"5970","which in",11,"which","in"
"5971","white house",11,"white","house"
"5972","who does",11,"who","does"
"5973","who the",11,"who","the"
"5974","who they",11,"who","they"
"5975","whole thing",11,"whole","thing"
"5976","why am",11,"why","am"
"5977","why they",11,"why","they"
"5978","will become",11,"will","become"
"5979","will bring",11,"will","bring"
"5980","will change",11,"will","change"
"5981","will show",11,"will","show"
"5982","with good",11,"with","good"
"5983","with love",11,"with","love"
"5984","with other",11,"with","other"
"5985","word for",11,"word","for"
"5986","work as",11,"work","as"
"5987","worked on",11,"worked","on"
"5988","working hard",11,"working","hard"
"5989","working out",11,"working","out"
"5990","would look",11,"would","look"
"5991","would think",11,"would","think"
"5992","writing and",11,"writing","and"
"5993","yeah that",11,"yeah","that"
"5994","year is",11,"year","is"
"5995","years before",11,"years","before"
"5996","years in",11,"years","in"
"5997","yes but",11,"yes","but"
"5998","yesterday i",11,"yesterday","i"
"5999","you buy",11,"you","buy"
"6000","you cannot",11,"you","cannot"
"6001","you gotta",11,"you","gotta"
"6002","you hate",11,"you","hate"
"6003","you made",11,"you","made"
"6004","you one",11,"you","one"
"6005","you right",11,"you","right"
"6006","you when",11,"you","when"
"6007","young people",11,"young","people"
"6008","your book",11,"your","book"
"6009","your car",11,"your","car"
"6010","your head",11,"your","head"
"6011","your help",11,"your","help"
"6012","your home",11,"your","home"
"6013","your house",11,"your","house"
"6014","your mind",11,"your","mind"
"6015","your mouth",11,"your","mouth"
"6016","your name",11,"your","name"
"6017","yourself a",11,"yourself","a"
"6018","a boy",10,"a","boy"
"6019","a class",10,"a","class"
"6020","a cute",10,"a","cute"
"6021","a dark",10,"a","dark"
"6022","a deep",10,"a","deep"
"6023","a doctor",10,"a","doctor"
"6024","a fine",10,"a","fine"
"6025","a fire",10,"a","fire"
"6026","a food",10,"a","food"
"6027","a go",10,"a","go"
"6028","a hand",10,"a","hand"
"6029","a hit",10,"a","hit"
"6030","a hour",10,"a","hour"
"6031","a hundred",10,"a","hundred"
"6032","a living",10,"a","living"
"6033","a mile",10,"a","mile"
"6034","a must",10,"a","must"
"6035","a pic",10,"a","pic"
"6036","a player",10,"a","player"
"6037","a pleasure",10,"a","pleasure"
"6038","a political",10,"a","political"
"6039","a public",10,"a","public"
"6040","a red",10,"a","red"
"6041","a shot",10,"a","shot"
"6042","a side",10,"a","side"
"6043","a solid",10,"a","solid"
"6044","a summer",10,"a","summer"
"6045","a sweet",10,"a","sweet"
"6046","a teenager",10,"a","teenager"
"6047","a third",10,"a","third"
"6048","a tweet",10,"a","tweet"
"6049","a waste",10,"a","waste"
"6050","a white",10,"a","white"
"6051","about being",10,"about","being"
"6052","about getting",10,"about","getting"
"6053","accused of",10,"accused","of"
"6054","after he",10,"after","he"
"6055","after it",10,"after","it"
"6056","after work",10,"after","work"
"6057","age and",10,"age","and"
"6058","all for",10,"all","for"
"6059","all right",10,"all","right"
"6060","all to",10,"all","to"
"6061","all up",10,"all","up"
"6062","all week",10,"all","week"
"6063","allow the",10,"allow","the"
"6064","almost as",10,"almost","as"
"6065","already i",10,"already","i"
"6066","although it",10,"although","it"
"6067","am finally",10,"am","finally"
"6068","am happy",10,"am","happy"
"6069","am off",10,"am","off"
"6070","am proud",10,"am","proud"
"6071","am starting",10,"am","starting"
"6072","an attempt",10,"an","attempt"
"6073","an incredible",10,"an","incredible"
"6074","and and",10,"and","and"
"6075","and children",10,"and","children"
"6076","and doing",10,"and","doing"
"6077","and easy",10,"and","easy"
"6078","and finally",10,"and","finally"
"6079","and forth",10,"and","forth"
"6080","and from",10,"and","from"
"6081","and hope",10,"and","hope"
"6082","and learning",10,"and","learning"
"6083","and like",10,"and","like"
"6084","and looked",10,"and","looked"
"6085","and old",10,"and","old"
"6086","and read",10,"and","read"
"6087","and run",10,"and","run"
"6088","and stay",10,"and","stay"
"6089","and thank",10,"and","thank"
"6090","and thus",10,"and","thus"
"6091","and want",10,"and","want"
"6092","and wanted",10,"and","wanted"
"6093","and watching",10,"and","watching"
"6094","and wine",10,"and","wine"
"6095","and write",10,"and","write"
"6096","and years",10,"and","years"
"6097","any one",10,"any","one"
"6098","anyone in",10,"anyone","in"
"6099","appreciate it",10,"appreciate","it"
"6100","are better",10,"are","better"
"6101","are great",10,"are","great"
"6102","are i",10,"are","i"
"6103","are open",10,"are","open"
"6104","are perfect",10,"are","perfect"
"6105","are such",10,"are","such"
"6106","are using",10,"are","using"
"6107","around you",10,"around","you"
"6108","arrived in",10,"arrived","in"
"6109","as opposed",10,"as","opposed"
"6110","as such",10,"as","such"
"6111","aspects of",10,"aspects","of"
"6112","away a",10,"away","a"
"6113","awkward moment",10,"awkward","moment"
"6114","baby girl",10,"baby","girl"
"6115","battle of",10,"battle","of"
"6116","bay area",10,"bay","area"
"6117","be getting",10,"be","getting"
"6118","be held",10,"be","held"
"6119","be proud",10,"be","proud"
"6120","be really",10,"be","really"
"6121","be working",10,"be","working"
"6122","because that",10,"because","that"
"6123","become an",10,"become","an"
"6124","been doing",10,"been","doing"
"6125","been told",10,"been","told"
"6126","been trying",10,"been","trying"
"6127","been waiting",10,"been","waiting"
"6128","behind it",10,"behind","it"
"6129","being on",10,"being","on"
"6130","best in",10,"best","in"
"6131","billion in",10,"billion","in"
"6132","book the",10,"book","the"
"6133","book to",10,"book","to"
"6134","books i",10,"books","i"
"6135","bottle of",10,"bottle","of"
"6136","break from",10,"break","from"
"6137","but could",10,"but","could"
"6138","but even",10,"but","even"
"6139","but since",10,"but","since"
"6140","by her",10,"by","her"
"6141","called me",10,"called","me"
"6142","can always",10,"can","always"
"6143","can come",10,"can","come"
"6144","can look",10,"can","look"
"6145","care for",10,"care","for"
"6146","care what",10,"care","what"
"6147","cast of",10,"cast","of"
"6148","change of",10,"change","of"
"6149","changed the",10,"changed","the"
"6150","children to",10,"children","to"
"6151","city and",10,"city","and"
"6152","class and",10,"class","and"
"6153","click here",10,"click","here"
"6154","click the",10,"click","the"
"6155","close the",10,"close","the"
"6156","come home",10,"come","home"
"6157","coming home",10,"coming","home"
"6158","control of",10,"control","of"
"6159","cool to",10,"cool","to"
"6160","could i",10,"could","i"
"6161","day was",10,"day","was"
"6162","day when",10,"day","when"
"6163","days later",10,"days","later"
"6164","days left",10,"days","left"
"6165","days to",10,"days","to"
"6166","dead in",10,"dead","in"
"6167","development and",10,"development","and"
"6168","did and",10,"did","and"
"6169","did get",10,"did","get"
"6170","did in",10,"did","in"
"6171","dinner at",10,"dinner","at"
"6172","do for",10,"do","for"
"6173","do people",10,"do","people"
"6174","do when",10,"do","when"
"6175","do your",10,"do","your"
"6176","doesnt have",10,"doesnt","have"
"6177","done this",10,"done","this"
"6178","dont worry",10,"dont","worry"
"6179","door and",10,"door","and"
"6180","drink and",10,"drink","and"
"6181","during this",10,"during","this"
"6182","each and",10,"each","and"
"6183","each one",10,"each","one"
"6184","eat a",10,"eat","a"
"6185","eat the",10,"eat","the"
"6186","effect of",10,"effect","of"
"6187","else and",10,"else","and"
"6188","end the",10,"end","the"
"6189","energy and",10,"energy","and"
"6190","enjoyed it",10,"enjoyed","it"
"6191","enough for",10,"enough","for"
"6192","exactly the",10,"exactly","the"
"6193","executive director",10,"executive","director"
"6194","experience and",10,"experience","and"
"6195","experience of",10,"experience","of"
"6196","fails to",10,"fails","to"
"6197","fans and",10,"fans","and"
"6198","far and",10,"far","and"
"6199","feel it",10,"feel","it"
"6200","feeling the",10,"feeling","the"
"6201","film festival",10,"film","festival"
"6202","floor of",10,"floor","of"
"6203","flowers and",10,"flowers","and"
"6204","follow i",10,"follow","i"
"6205","for everything",10,"for","everything"
"6206","for such",10,"for","such"
"6207","for to",10,"for","to"
"6208","for tonight",10,"for","tonight"
"6209","forget that",10,"forget","that"
"6210","forgot about",10,"forgot","about"
"6211","found on",10,"found","on"
"6212","friends in",10,"friends","in"
"6213","from and",10,"from","and"
"6214","from last",10,"from","last"
"6215","from now",10,"from","now"
"6216","from pm",10,"from","pm"
"6217","game and",10,"game","and"
"6218","gave it",10,"gave","it"
"6219","gave you",10,"gave","you"
"6220","get any",10,"get","any"
"6221","get home",10,"get","home"
"6222","girls and",10,"girls","and"
"6223","give your",10,"give","your"
"6224","glass of",10,"glass","of"
"6225","go up",10,"go","up"
"6226","goal is",10,"goal","is"
"6227","going for",10,"going","for"
"6228","going well",10,"going","well"
"6229","good place",10,"good","place"
"6230","got this",10,"got","this"
"6231","got up",10,"got","up"
"6232","grab a",10,"grab","a"
"6233","group and",10,"group","and"
"6234","had become",10,"had","become"
"6235","hands on",10,"hands","on"
"6236","happening in",10,"happening","in"
