"","word","freq","first_Nmin1","last","first","first2","second","third"
"7168","it is the new",2,"it is the","new","it","it is","is","the"
"7169","it is the st",2,"it is the","st","it","it is","is","the"
"7170","it is the weekend",2,"it is the","weekend","it","it is","is","the"
"7171","it is true in",2,"it is true","in","it","it is","is","true"
"7172","it is up and",2,"it is up","and","it","it is","is","up"
"7173","it is very hard",2,"it is very","hard","it","it is","is","very"
"7174","it is when i",2,"it is when","i","it","it is","is","when"
"7175","it is wise to",2,"it is wise","to","it","it is","is","wise"
"7176","it is with ghosts",2,"it is with","ghosts","it","it is","is","with"
"7177","it is with true",2,"it is with","true","it","it is","is","with"
"7178","it it was a",2,"it it was","a","it","it it","it","was"
"7179","it just makes everything",2,"it just makes","everything","it","it just","just","makes"
"7180","it let me know",2,"it let me","know","it","it let","let","me"
"7181","it like that but",2,"it like that","but","it","it like","like","that"
"7182","it looks like the",2,"it looks like","the","it","it looks","looks","like"
"7183","it looks like we",2,"it looks like","we","it","it looks","looks","like"
"7184","it made me smile",2,"it made me","smile","it","it made","made","me"
"7185","it makes sense and",2,"it makes sense","and","it","it makes","makes","sense"
"7186","it makes you feel",2,"it makes you","feel","it","it makes","makes","you"
"7187","it may be that",2,"it may be","that","it","it may","may","be"
"7188","it may seem like",2,"it may seem","like","it","it may","may","seem"
"7189","it may well be",2,"it may well","be","it","it may","may","well"
"7190","it might not be",2,"it might not","be","it","it might","might","not"
"7191","it more and more",2,"it more and","more","it","it more","more","and"
"7192","it most of the",2,"it most of","the","it","it most","most","of"
"7193","it must be the",2,"it must be","the","it","it must","must","be"
"7194","it needs to be",2,"it needs to","be","it","it needs","needs","to"
"7195","it now in the",2,"it now in","the","it","it now","now","in"
"7196","it one of the",2,"it one of","the","it","it one","one","of"
"7197","it only took me",2,"it only took","me","it","it only","only","took"
"7198","it out if you",2,"it out if","you","it","it out","out","if"
"7199","it out of the",2,"it out of","the","it","it out","out","of"
"7200","it over and over",2,"it over and","over","it","it over","over","and"
"7201","it really does not",2,"it really does","not","it","it really","really","does"
"7202","it really is a",2,"it really is","a","it","it really","really","is"
"7203","it really is the",2,"it really is","the","it","it really","really","is"
"7204","it reminded me that",2,"it reminded me","that","it","it reminded","reminded","me"
"7205","it s time to",2,"it s time","to","it","it s","s","time"
"7206","it seemed like everything",2,"it seemed like","everything","it","it seemed","seemed","like"
"7207","it seemed to be",2,"it seemed to","be","it","it seemed","seemed","to"
"7208","it seems like that",2,"it seems like","that","it","it seems","seems","like"
"7209","it seems to me",2,"it seems to","me","it","it seems","seems","to"
"7210","it should be noted",2,"it should be","noted","it","it should","should","be"
"7211","it so easy to",2,"it so easy","to","it","it so","so","easy"
"7212","it so i can",2,"it so i","can","it","it so","so","i"
"7213","it so much i",2,"it so much","i","it","it so","so","much"
"7214","it sounds like a",2,"it sounds like","a","it","it sounds","sounds","like"
"7215","it take it out",2,"it take it","out","it","it take","take","it"
"7216","it takes to do",2,"it takes to","do","it","it takes","takes","to"
"7217","it takes to make",2,"it takes to","make","it","it takes","takes","to"
"7218","it the day before",2,"it the day","before","it","it the","the","day"
"7219","it the way i",2,"it the way","i","it","it the","the","way"
"7220","it there are some",2,"it there are","some","it","it there","there","are"
"7221","it to be a",2,"it to be","a","it","it to","to","be"
"7222","it to the playoffs",2,"it to the","playoffs","it","it to","to","the"
"7223","it to yourself to",2,"it to yourself","to","it","it to","to","yourself"
"7224","it too so if",2,"it too so","if","it","it too","too","so"
"7225","it took a bit",2,"it took a","bit","it","it took","took","a"
"7226","it turned out to",2,"it turned out","to","it","it turned","turned","out"
"7227","it turns out he",2,"it turns out","he","it","it turns","turns","out"
"7228","it up for a",2,"it up for","a","it","it up","up","for"
"7229","it was a lovely",2,"it was a","lovely","it","it was","was","a"
"7230","it was a very",2,"it was a","very","it","it was","was","a"
"7231","it was all over",2,"it was all","over","it","it was","was","all"
"7232","it was all worth",2,"it was all","worth","it","it was","was","all"
"7233","it was almost like",2,"it was almost","like","it","it was","was","almost"
"7234","it was an honor",2,"it was an","honor","it","it was","was","an"
"7235","it was at the",2,"it was at","the","it","it was","was","at"
"7236","it was awesome i",2,"it was awesome","i","it","it was","was","awesome"
"7237","it was back in",2,"it was back","in","it","it was","was","back"
"7238","it was clear that",2,"it was clear","that","it","it was","was","clear"
"7239","it was definitely a",2,"it was definitely","a","it","it was","was","definitely"
"7240","it was easier to",2,"it was easier","to","it","it was","was","easier"
"7241","it was fun i",2,"it was fun","i","it","it was","was","fun"
"7242","it was good for",2,"it was good","for","it","it was","was","good"
"7243","it was great to",2,"it was great","to","it","it was","was","great"
"7244","it was important to",2,"it was important","to","it","it was","was","important"
"7245","it was in the",2,"it was in","the","it","it was","was","in"
"7246","it was just a",2,"it was just","a","it","it was","was","just"
"7247","it was just about",2,"it was just","about","it","it was","was","just"
"7248","it was just as",2,"it was just","as","it","it was","was","just"
"7249","it was not my",2,"it was not","my","it","it was","was","not"
"7250","it was possible to",2,"it was possible","to","it","it was","was","possible"
"7251","it was such a",2,"it was such","a","it","it was","was","such"
"7252","it was the first",2,"it was the","first","it","it was","was","the"
"7253","it was the one",2,"it was the","one","it","it was","was","the"
"7254","it was the only",2,"it was the","only","it","it was","was","the"
"7255","it was time for",2,"it was time","for","it","it was","was","time"
"7256","it was very difficult",2,"it was very","difficult","it","it was","was","very"
"7257","it when it is",2,"it when it","is","it","it when","when","it"
"7258","it whether or not",2,"it whether or","not","it","it whether","whether","or"
"7259","it will be like",2,"it will be","like","it","it will","will","be"
"7260","it will be okay",2,"it will be","okay","it","it will","will","be"
"7261","it will be over",2,"it will be","over","it","it will","will","be"
"7262","it will change your",2,"it will change","your","it","it will","will","change"
"7263","it will come back",2,"it will come","back","it","it will","will","come"
"7264","it will make your",2,"it will make","your","it","it will","will","make"
"7265","it will take a",2,"it will take","a","it","it will","will","take"
"7266","it will take to",2,"it will take","to","it","it will","will","take"
"7267","it works for you",2,"it works for","you","it","it works","works","for"
"7268","it would be cool",2,"it would be","cool","it","it would","would","be"
"7269","it would be epic",2,"it would be","epic","it","it would","would","be"
"7270","it would be good",2,"it would be","good","it","it would","would","be"
"7271","it would be if",2,"it would be","if","it","it would","would","be"
"7272","it would be like",2,"it would be","like","it","it would","would","be"
"7273","it would have been",2,"it would have","been","it","it would","would","have"
"7274","it would mean alot",2,"it would mean","alot","it","it would","would","mean"
"7275","it would take a",2,"it would take","a","it","it would","would","take"
"7276","its a beautiful day",2,"its a beautiful","day","its","its a","a","beautiful"
"7277","its a good thing",2,"its a good","thing","its","its a","a","good"
"7278","its all in the",2,"its all in","the","its","its all","all","in"
"7279","its as simple as",2,"its as simple","as","its","its as","as","simple"
"7280","its fair to say",2,"its fair to","say","its","its fair","fair","to"
"7281","its gonna be a",2,"its gonna be","a","its","its gonna","gonna","be"
"7282","its just one of",2,"its just one","of","its","its just","just","one"
"7283","its not what you",2,"its not what","you","its","its not","not","what"
"7284","its time for me",2,"its time for","me","its","its time","time","for"
"7285","its worth noting that",2,"its worth noting","that","its","its worth","worth","noting"
"7286","ive been working on",2,"ive been working","on","ive","ive been","been","working"
"7287","je ne sais quoi",2,"je ne sais","quoi","je","je ne","ne","sais"
"7288","job i will be",2,"job i will","be","job","job i","i","will"
"7289","join in with the",2,"join in with","the","join","join in","in","with"
"7290","join us at the",2,"join us at","the","join","join us","us","at"
"7291","join us for happy",2,"join us for","happy","join","join us","us","for"
"7292","joining us for our",2,"joining us for","our","joining","joining us","us","for"
"7293","jury is still out",2,"jury is still","out","jury","jury is","is","still"
"7294","just a bit too",2,"just a bit","too","just","just a","a","bit"
"7295","just a couple of",2,"just a couple","of","just","just a","a","couple"
"7296","just a few days",2,"just a few","days","just","just a","a","few"
"7297","just a few minutes",2,"just a few","minutes","just","just a","a","few"
"7298","just a few months",2,"just a few","months","just","just a","a","few"
"7299","just accept that you",2,"just accept that","you","just","just accept","accept","that"
"7300","just as long as",2,"just as long","as","just","just as","as","long"
"7301","just as quickly as",2,"just as quickly","as","just","just as","as","quickly"
"7302","just because you are",2,"just because you","are","just","just because","because","you"
"7303","just can not get",2,"just can not","get","just","just can","can","not"
"7304","just cant wait to",2,"just cant wait","to","just","just cant","cant","wait"
"7305","just could not wait",2,"just could not","wait","just","just could","could","not"
"7306","just did not know",2,"just did not","know","just","just did","did","not"
"7307","just did not work",2,"just did not","work","just","just did","did","not"
"7308","just didnt feel like",2,"just didnt feel","like","just","just didnt","didnt","feel"
"7309","just do not be",2,"just do not","be","just","just do","do","not"
"7310","just do not care",2,"just do not","care","just","just do","do","not"
"7311","just do not give",2,"just do not","give","just","just do","do","not"
"7312","just do not have",2,"just do not","have","just","just do","do","not"
"7313","just fine by me",2,"just fine by","me","just","just fine","fine","by"
"7314","just forget the world",2,"just forget the","world","just","just forget","forget","the"
"7315","just found out i",2,"just found out","i","just","just found","found","out"
"7316","just found out that",2,"just found out","that","just","just found","found","out"
"7317","just go out and",2,"just go out","and","just","just go","go","out"
"7318","just got a new",2,"just got a","new","just","just got","got","a"
"7319","just got asked to",2,"just got asked","to","just","just got","got","asked"
"7320","just got out of",2,"just got out","of","just","just got","got","out"
"7321","just had to share",2,"just had to","share","just","just had","had","to"
"7322","just have to do",2,"just have to","do","just","just have","have","to"
"7323","just icing on the",2,"just icing on","the","just","just icing","icing","on"
"7324","just informed me that",2,"just informed me","that","just","just informed","informed","me"
"7325","just let me know",2,"just let me","know","just","just let","let","me"
"7326","just look at the",2,"just look at","the","just","just look","look","at"
"7327","just means i am",2,"just means i","am","just","just means","means","i"
"7328","just munched a pink",2,"just munched a","pink","just","just munched","munched","a"
"7329","just need to be",2,"just need to","be","just","just need","need","to"
"7330","just the way i",2,"just the way","i","just","just the","the","way"
"7331","just thinking about it",2,"just thinking about","it","just","just thinking","thinking","about"
"7332","just thought i would",2,"just thought i","would","just","just thought","thought","i"
"7333","just told me that",2,"just told me","that","just","just told","told","me"
"7334","just wanna go home",2,"just wanna go","home","just","just wanna","wanna","go"
"7335","just want to know",2,"just want to","know","just","just want","want","to"
"7336","just wanted to let",2,"just wanted to","let","just","just wanted","wanted","to"
"7337","just wants to be",2,"just wants to","be","just","just wants","wants","to"
"7338","just went on and",2,"just went on","and","just","just went","went","on"
"7339","just wish i knew",2,"just wish i","knew","just","just wish","wish","i"
"7340","keep a close eye",2,"keep a close","eye","keep","keep a","a","close"
"7341","keep it simple and",2,"keep it simple","and","keep","keep it","it","simple"
"7342","keep me in the",2,"keep me in","the","keep","keep me","me","in"
"7343","keep my eye on",2,"keep my eye","on","keep","keep my","my","eye"
"7344","kevin hart seriously funny",2,"kevin hart seriously","funny","kevin","kevin hart","hart","seriously"
"7345","kicking myself for not",2,"kicking myself for","not","kicking","kicking myself","myself","for"
"7346","knew i wanted to",2,"knew i wanted","to","knew","knew i","i","wanted"
"7347","knew this day would",2,"knew this day","would","knew","knew this","this","day"
"7348","knew what was going",2,"knew what was","going","knew","knew what","what","was"
"7349","knight in shining armour",2,"knight in shining","armour","knight","knight in","in","shining"
"7350","knock life for us",2,"knock life for","us","knock","knock life","life","for"
"7351","know a lot but",2,"know a lot","but","know","know a","a","lot"
"7352","know he is the",2,"know he is","the","know","know he","he","is"
"7353","know how i can",2,"know how i","can","know","know how","how","i"
"7354","know how to act",2,"know how to","act","know","know how","how","to"
"7355","know how to be",2,"know how to","be","know","know how","how","to"
"7356","know i am in",2,"know i am","in","know","know i","i","am"
"7357","know i am not",2,"know i am","not","know","know i","i","am"
"7358","know i was in",2,"know i was","in","know","know i","i","was"
"7359","know i will never",2,"know i will","never","know","know i","i","will"
"7360","know if it is",2,"know if it","is","know","know if","if","it"
"7361","know if you are",2,"know if you","are","know","know if","if","you"
"7362","know if you need",2,"know if you","need","know","know if","if","you"
"7363","know it could be",2,"know it could","be","know","know it","it","could"
"7364","know it is cuz",2,"know it is","cuz","know","know it","it","is"
"7365","know it will be",2,"know it will","be","know","know it","it","will"
"7366","know so i can",2,"know so i","can","know","know so","so","i"
"7367","know some of the",2,"know some of","the","know","know some","some","of"
"7368","know the answer to",2,"know the answer","to","know","know the","the","answer"
"7369","know the kind that",2,"know the kind","that","know","know the","the","kind"
"7370","know there was a",2,"know there was","a","know","know there","there","was"
"7371","know this guy is",2,"know this guy","is","know","know this","this","guy"
"7372","know what happened to",2,"know what happened","to","know","know what","what","happened"
"7373","know what i am",2,"know what i","am","know","know what","what","i"
"7374","know what i need",2,"know what i","need","know","know what","what","i"
"7375","know what i was",2,"know what i","was","know","know what","what","i"
"7376","know what i would",2,"know what i","would","know","know what","what","i"
"7377","know what more to",2,"know what more","to","know","know what","what","more"
"7378","know what to think",2,"know what to","think","know","know what","what","to"
"7379","know what u think",2,"know what u","think","know","know what","what","u"
"7380","know where i will",2,"know where i","will","know","know where","where","i"
"7381","know where that is",2,"know where that","is","know","know where","where","that"
"7382","know where you are",2,"know where you","are","know","know where","where","you"
"7383","know who she is",2,"know who she","is","know","know who","who","she"
"7384","know who you are",2,"know who you","are","know","know who","who","you"
"7385","know you are a",2,"know you are","a","know","know you","you","are"
"7386","know you are gonna",2,"know you are","gonna","know","know you","you","are"
"7387","know you do not",2,"know you do","not","know","know you","you","do"
"7388","know you have a",2,"know you have","a","know","know you","you","have"
"7389","knowing what to do",2,"knowing what to","do","knowing","knowing what","what","to"
"7390","knows how to do",2,"knows how to","do","knows","knows how","how","to"
"7391","lack of a better",2,"lack of a","better","lack","lack of","of","a"
"7392","lady think like a",2,"lady think like","a","lady","lady think","think","like"
"7393","last chance to win",2,"last chance to","win","last","last chance","chance","to"
"7394","last couple of days",2,"last couple of","days","last","last couple","couple","of"
"7395","last night and this",2,"last night and","this","last","last night","night","and"
"7396","last night for the",2,"last night for","the","last","last night","night","for"
"7397","last night i have",2,"last night i","have","last","last night","night","i"
"7398","last night i went",2,"last night i","went","last","last night","night","i"
"7399","last thing i want",2,"last thing i","want","last","last thing","thing","i"
"7400","last time i checked",2,"last time i","checked","last","last time","time","i"
"7401","last time i saw",2,"last time i","saw","last","last time","time","i"
"7402","last time i was",2,"last time i","was","last","last time","time","i"
"7403","last week from the",2,"last week from","the","last","last week","week","from"
"7404","last week of school",2,"last week of","school","last","last week","week","of"
"7405","last year it was",2,"last year it","was","last","last year","year","it"
"7406","last year when he",2,"last year when","he","last","last year","year","when"
"7407","last year when i",2,"last year when","i","last","last year","year","when"
"7408","late nights early mornings",2,"late nights early","mornings","late","late nights","nights","early"
"7409","late to the party",2,"late to the","party","late","late to","to","the"
"7410","laugh out loud funny",2,"laugh out loud","funny","laugh","laugh out","out","loud"
"7411","law of the land",2,"law of the","land","law","law of","of","the"
"7412","lead go instead where",2,"lead go instead","where","lead","lead go","go","instead"
"7413","leading up to the",2,"leading up to","the","leading","leading up","up","to"
"7414","learn a lot from",2,"learn a lot","from","learn","learn a","a","lot"
"7415","learned a lot from",2,"learned a lot","from","learned","learned a","a","lot"
"7416","learned a new word",2,"learned a new","word","learned","learned a","a","new"
"7417","learning how to make",2,"learning how to","make","learning","learning how","how","to"
"7418","least i have a",2,"least i have","a","least","least i","i","have"
"7419","least once a week",2,"least once a","week","least","least once","once","a"
"7420","least that is what",2,"least that is","what","least","least that","that","is"
"7421","leave a comment and",2,"leave a comment","and","leave","leave a","a","comment"
"7422","leave me a comment",2,"leave me a","comment","leave","leave me","me","a"
"7423","left a comment on",2,"left a comment","on","left","left a","a","comment"
"7424","left there is no",2,"left there is","no","left","left there","there","is"
"7425","left to enter our",2,"left to enter","our","left","left to","to","enter"
"7426","lemonade is cucumber mint",2,"lemonade is cucumber","mint","lemonade","lemonade is","is","cucumber"
"7427","less than an hour",2,"less than an","hour","less","less than","than","an"
"7428","let me find out",2,"let me find","out","let","let me","me","find"
"7429","let me know so",2,"let me know","so","let","let me","me","know"
"7430","let me know what",2,"let me know","what","let","let me","me","know"
"7431","let me rephrase that",2,"let me rephrase","that","let","let me","me","rephrase"
"7432","let me see what",2,"let me see","what","let","let me","me","see"
"7433","let me start off",2,"let me start","off","let","let me","me","start"
"7434","let my son play",2,"let my son","play","let","let my","my","son"
"7435","let them dry out",2,"let them dry","out","let","let them","them","dry"
"7436","let this be a",2,"let this be","a","let","let this","this","be"
"7437","let us go back",2,"let us go","back","let","let us","us","go"
"7438","let us go rangers",2,"let us go","rangers","let","let us","us","go"
"7439","let us go to",2,"let us go","to","let","let us","us","go"
"7440","let us have a",2,"let us have","a","let","let us","us","have"
"7441","let us hear it",2,"let us hear","it","let","let us","us","hear"
"7442","let us just say",2,"let us just","say","let","let us","us","just"
"7443","let us keep it",2,"let us keep","it","let","let us","us","keep"
"7444","let us make this",2,"let us make","this","let","let us","us","make"
"7445","let us not get",2,"let us not","get","let","let us","us","not"
"7446","let us see how",2,"let us see","how","let","let us","us","see"
"7447","let us see if",2,"let us see","if","let","let us","us","see"
"7448","let us start a",2,"let us start","a","let","let us","us","start"
"7449","let us take a",2,"let us take","a","let","let us","us","take"
"7450","let you know i",2,"let you know","i","let","let you","you","know"
"7451","let you know if",2,"let you know","if","let","let you","you","know"
"7452","let you know when",2,"let you know","when","let","let you","you","know"
"7453","lets make it great",2,"lets make it","great","lets","lets make","make","it"
"7454","level mp cost duration",2,"level mp cost","duration","level","level mp","mp","cost"
"7455","lie to you and",2,"lie to you","and","lie","lie to","to","you"
"7456","life i am on",2,"life i am","on","life","life i","i","am"
"7457","life i did not",2,"life i did","not","life","life i","i","did"
"7458","life in prison for",2,"life in prison","for","life","life in","in","prison"
"7459","life in the spirit",2,"life in the","spirit","life","life in","in","the"
"7460","life is not a",2,"life is not","a","life","life is","is","not"
"7461","life is not perfect",2,"life is not","perfect","life","life is","is","not"
"7462","life it is the",2,"life it is","the","life","life it","it","is"
"7463","life that i will",2,"life that i","will","life","life that","that","i"
"7464","life to the fullest",2,"life to the","fullest","life","life to","to","the"
"7465","light up my world",2,"light up my","world","light","light up","up","my"
"7466","like a good night",2,"like a good","night","like","like a","a","good"
"7467","like a great idea",2,"like a great","idea","like","like a","a","great"
"7468","like a lady think",2,"like a lady","think","like","like a","a","lady"
"7469","like change you are",2,"like change you","are","like","like change","change","you"
"7470","like going to school",2,"like going to","school","like","like going","going","to"
"7471","like i have had",2,"like i have","had","like","like i","i","have"
"7472","like it is funny",2,"like it is","funny","like","like it","it","is"
"7473","like it is going",2,"like it is","going","like","like it","it","is"
"7474","like it it is",2,"like it it","is","like","like it","it","it"
"7475","like it might be",2,"like it might","be","like","like it","it","might"
"7476","like it or not",2,"like it or","not","like","like it","it","or"
"7477","like it will be",2,"like it will","be","like","like it","it","will"
"7478","like it would take",2,"like it would","take","like","like it","it","would"
"7479","like something i would",2,"like something i","would","like","like something","something","i"
"7480","like the look of",2,"like the look","of","like","like the","the","look"
"7481","like the one i",2,"like the one","i","like","like the","the","one"
"7482","like the sound of",2,"like the sound","of","like","like the","the","sound"
"7483","like they did with",2,"like they did","with","like","like they","they","did"
"7484","like this there are",2,"like this there","are","like","like this","this","there"
"7485","like to be a",2,"like to be","a","like","like to","to","be"
"7486","like to do it",2,"like to do","it","like","like to","to","do"
"7487","like to have a",2,"like to have","a","like","like to","to","have"
"7488","like to know more",2,"like to know","more","like","like to","to","know"
"7489","like to read my",2,"like to read","my","like","like to","to","read"
"7490","like to refer to",2,"like to refer","to","like","like to","to","refer"
"7491","like to see all",2,"like to see","all","like","like to","to","see"
"7492","like to see what",2,"like to see","what","like","like to","to","see"
"7493","like to talk about",2,"like to talk","about","like","like to","to","talk"
"7494","like to thank the",2,"like to thank","the","like","like to","to","thank"
"7495","like we used to",2,"like we used","to","like","like we","we","used"
"7496","like you and me",2,"like you and","me","like","like you","you","and"
"7497","like you should be",2,"like you should","be","like","like you","you","should"
"7498","limit the number of",2,"limit the number","of","limit","limit the","the","number"
"7499","list all of the",2,"list all of","the","list","list all","all","of"
"7500","listen to it everyday",2,"listen to it","everyday","listen","listen to","to","it"
"7501","listen to what people",2,"listen to what","people","listen","listen to","to","what"
"7502","listened to it a",2,"listened to it","a","listened","listened to","to","it"
"7503","listening to right now",2,"listening to right","now","listening","listening to","to","right"
"7504","listening to the new",2,"listening to the","new","listening","listening to","to","the"
"7505","literally astound ourselves thomas",2,"literally astound ourselves","thomas","literally","literally astound","astound","ourselves"
"7506","little bit of the",2,"little bit of","the","little","little bit","bit","of"
"7507","little bit of time",2,"little bit of","time","little","little bit","bit","of"
"7508","little hole in the",2,"little hole in","the","little","little hole","hole","in"
"7509","live in a world",2,"live in a","world","live","live in","in","a"
"7510","live up to that",2,"live up to","that","live","live up","up","to"
"7511","live your life and",2,"live your life","and","live","live your","your","life"
"7512","living life to the",2,"living life to","the","living","living life","life","to"
"7513","lol i can not",2,"lol i can","not","lol","lol i","i","can"
"7514","lol i know i",2,"lol i know","i","lol","lol i","i","know"
"7515","lol i was being",2,"lol i was","being","lol","lol i","i","was"
"7516","lol let me find",2,"lol let me","find","lol","lol let","let","me"
"7517","lol that would be",2,"lol that would","be","lol","lol that","that","would"
"7518","long as i can",2,"long as i","can","long","long as","as","i"
"7519","long as you get",2,"long as you","get","long","long as","as","you"
"7520","long as you have",2,"long as you","have","long","long as","as","you"
"7521","long day of work",2,"long day of","work","long","long day","day","of"
"7522","long period of time",2,"long period of","time","long","long period","period","of"
"7523","long time and i",2,"long time and","i","long","long time","time","and"
"7524","long time to get",2,"long time to","get","long","long time","time","to"
"7525","long way to go",2,"long way to","go","long","long way","way","to"
"7526","long would it take",2,"long would it","take","long","long would","would","it"
"7527","look at you funny",2,"look at you","funny","look","look at","at","you"
"7528","look forward to a",2,"look forward to","a","look","look forward","forward","to"
"7529","look forward to connecting",2,"look forward to","connecting","look","look forward","forward","to"
"7530","look forward to hearing",2,"look forward to","hearing","look","look forward","forward","to"
"7531","look forward to more",2,"look forward to","more","look","look forward","forward","to"
"7532","look forward to the",2,"look forward to","the","look","look forward","forward","to"
"7533","look in the mirror",2,"look in the","mirror","look","look in","in","the"
"7534","look like a fool",2,"look like a","fool","look","look like","like","a"
"7535","look like crap haha",2,"look like crap","haha","look","look like","like","crap"
"7536","look on her face",2,"look on her","face","look","look on","on","her"
"7537","look out for the",2,"look out for","the","look","look out","out","for"
"7538","looked like it was",2,"looked like it","was","looked","looked like","like","it"
"7539","looked up at the",2,"looked up at","the","looked","looked up","up","at"
"7540","looking at all the",2,"looking at all","the","looking","looking at","at","all"
"7541","looking for a great",2,"looking for a","great","looking","looking for","for","a"
"7542","looking for a way",2,"looking for a","way","looking","looking for","for","a"
"7543","looking for it i",2,"looking for it","i","looking","looking for","for","it"
"7544","looking forward to being",2,"looking forward to","being","looking","looking forward","forward","to"
"7545","looking forward to getting",2,"looking forward to","getting","looking","looking forward","forward","to"
"7546","looking forward to having",2,"looking forward to","having","looking","looking forward","forward","to"
"7547","looking forward to our",2,"looking forward to","our","looking","looking forward","forward","to"
"7548","looking forward to some",2,"looking forward to","some","looking","looking forward","forward","to"
"7549","looking like a good",2,"looking like a","good","looking","looking like","like","a"
"7550","looks like he is",2,"looks like he","is","looks","looks like","like","he"
"7551","looks like it is",2,"looks like it","is","looks","looks like","like","it"
"7552","looks like this year",2,"looks like this","year","looks","looks like","like","this"
"7553","looks like we are",2,"looks like we","are","looks","looks like","like","we"
"7554","lord of the flies",2,"lord of the","flies","lord","lord of","of","the"
"7555","loss of loved ones",2,"loss of loved","ones","loss","loss of","of","loved"
"7556","lost a piece of",2,"lost a piece","of","lost","lost a","a","piece"
"7557","lot of guys get",2,"lot of guys","get","lot","lot of","of","guys"
"7558","lot of money to",2,"lot of money","to","lot","lot of","of","money"
"7559","lot of my time",2,"lot of my","time","lot","lot of","of","my"
"7560","lot of things and",2,"lot of things","and","lot","lot of","of","things"
"7561","lot of us are",2,"lot of us","are","lot","lot of","of","us"
"7562","lot to do with",2,"lot to do","with","lot","lot to","to","do"
"7563","lots of fun i",2,"lots of fun","i","lots","lots of","of","fun"
"7564","loud and clear that",2,"loud and clear","that","loud","loud and","and","clear"
"7565","love all of them",2,"love all of","them","love","love all","all","of"
"7566","love as it is",2,"love as it","is","love","love as","as","it"
"7567","love each other more",2,"love each other","more","love","love each","each","other"
"7568","love her so much",2,"love her so","much","love","love her","her","so"
"7569","love is in the",2,"love is in","the","love","love is","is","in"
"7570","love it even more",2,"love it even","more","love","love it","it","even"
"7571","love it more and",2,"love it more","and","love","love it","it","more"
"7572","love it so much",2,"love it so","much","love","love it","it","so"
"7573","love my children more",2,"love my children","more","love","love my","my","children"
"7574","love nothing more than",2,"love nothing more","than","love","love nothing","nothing","more"
"7575","love the idea of",2,"love the idea","of","love","love the","the","idea"
"7576","love this is one",2,"love this is","one","love","love this","this","is"
"7577","love to catch up",2,"love to catch","up","love","love to","to","catch"
"7578","love to have a",2,"love to have","a","love","love to","to","have"
"7579","love to hear about",2,"love to hear","about","love","love to","to","hear"
"7580","love to work with",2,"love to work","with","love","love to","to","work"
"7581","love you and i",2,"love you and","i","love","love you","you","and"
"7582","love you if you",2,"love you if","you","love","love you","you","if"
"7583","love you more than",2,"love you more","than","love","love you","you","more"
"7584","loved getting to know",2,"loved getting to","know","loved","loved getting","getting","to"
"7585","loves you and i",2,"loves you and","i","loves","loves you","you","and"
"7586","lower the heat and",2,"lower the heat","and","lower","lower the","the","heat"
"7587","mac and cheese and",2,"mac and cheese","and","mac","mac and","and","cheese"
"7588","made a new friend",2,"made a new","friend","made","made a","a","new"
"7589","made in the usa",2,"made in the","usa","made","made in","in","the"
"7590","made it through the",2,"made it through","the","made","made it","it","through"
"7591","made me feel like",2,"made me feel","like","made","made me","me","feel"
"7592","made me smile and",2,"made me smile","and","made","made me","me","smile"
"7593","made me want to",2,"made me want","to","made","made me","me","want"
"7594","made the world a",2,"made the world","a","made","made the","the","world"
"7595","made this card for",2,"made this card","for","made","made this","this","card"
"7596","majority of the world",2,"majority of the","world","majority","majority of","of","the"
"7597","make a card without",2,"make a card","without","make","make a","a","card"
"7598","make a long story",2,"make a long","story","make","make a","a","long"
"7599","make an attempt to",2,"make an attempt","to","make","make an","an","attempt"
"7600","make an exception for",2,"make an exception","for","make","make an","an","exception"
"7601","make it a great",2,"make it a","great","make","make it","it","a"
"7602","make it clear that",2,"make it clear","that","make","make it","it","clear"
"7603","make it into the",2,"make it into","the","make","make it","it","into"
"7604","make it work the",2,"make it work","the","make","make it","it","work"
"7605","make sense of it",2,"make sense of","it","make","make sense","sense","of"
"7606","make sense to me",2,"make sense to","me","make","make sense","sense","to"
"7607","make sure it is",2,"make sure it","is","make","make sure","sure","it"
"7608","make sure that you",2,"make sure that","you","make","make sure","sure","that"
"7609","make sure to check",2,"make sure to","check","make","make sure","sure","to"
"7610","make sure you call",2,"make sure you","call","make","make sure","sure","you"
"7611","make sure you check",2,"make sure you","check","make","make sure","sure","you"
"7612","make sure you have",2,"make sure you","have","make","make sure","sure","you"
"7613","make the other side",2,"make the other","side","make","make the","the","other"
"7614","make time for the",2,"make time for","the","make","make time","time","for"
"7615","make up percent of",2,"make up percent","of","make","make up","up","percent"
"7616","makes a lot of",2,"makes a lot","of","makes","makes a","a","lot"
"7617","makes about as much",2,"makes about as","much","makes","makes about","about","as"
"7618","makes it easy to",2,"makes it easy","to","makes","makes it","it","easy"
"7619","makes me wonder if",2,"makes me wonder","if","makes","makes me","me","wonder"
"7620","makes two of us",2,"makes two of","us","makes","makes two","two","of"
"7621","makes you feel better",2,"makes you feel","better","makes","makes you","you","feel"
"7622","making it one of",2,"making it one","of","making","making it","it","one"
"7623","making it the best",2,"making it the","best","making","making it","it","the"
"7624","making me want to",2,"making me want","to","making","making me","me","want"
"7625","man he used to",2,"man he used","to","man","man he","he","used"
"7626","man i miss my",2,"man i miss","my","man","man i","i","miss"
"7627","man in a suit",2,"man in a","suit","man","man in","in","a"
