"","word","freq","first_Nmin1","last","first","first2","first3","first4","second","third","fourth","fifth"
"560","what it is like to be",2,"what it is like to","be","what","what it","what it is","what it is like","it","is","like","to"
"561","what things soever ye desire when",2,"what things soever ye desire","when","what","what things","what things soever","what things soever ye","things","soever","ye","desire"
"562","what was your favorite part of",2,"what was your favorite part","of","what","what was","what was your","what was your favorite","was","your","favorite","part"
"563","when i got to the end",2,"when i got to the","end","when","when i","when i got","when i got to","i","got","to","the"
"564","when i was in high school",2,"when i was in high","school","when","when i","when i was","when i was in","i","was","in","high"
"565","when u gonna b in dc",2,"when u gonna b in","dc","when","when u","when u gonna","when u gonna b","u","gonna","b","in"
"566","when was the last time you",2,"when was the last time","you","when","when was","when was the","when was the last","was","the","last","time"
"567","when ye pray believe that ye",2,"when ye pray believe that","ye","when","when ye","when ye pray","when ye pray believe","ye","pray","believe","that"
"568","where the path may lead go",2,"where the path may lead","go","where","where the","where the path","where the path may","the","path","may","lead"
"569","where there is no path and",2,"where there is no path","and","where","where there","where there is","where there is no","there","is","no","path"
"570","who has the best chance to",2,"who has the best chance","to","who","who has","who has the","who has the best","has","the","best","chance"
"571","who is going to pay for",2,"who is going to pay","for","who","who is","who is going","who is going to","is","going","to","pay"
"572","why did not anyone tell me",2,"why did not anyone tell","me","why","why did","why did not","why did not anyone","did","not","anyone","tell"
"573","why do i so desperately want",2,"why do i so desperately","want","why","why do","why do i","why do i so","do","i","so","desperately"
"574","will be the death of me",2,"will be the death of","me","will","will be","will be the","will be the death","be","the","death","of"
"575","will have to check it out",2,"will have to check it","out","will","will have","will have to","will have to check","have","to","check","it"
"576","will you please follow me back",2,"will you please follow me","back","will","will you","will you please","will you please follow","you","please","follow","me"
"577","winners never quit and quitters never",2,"winners never quit and quitters","never","winners","winners never","winners never quit","winners never quit and","never","quit","and","quitters"
"578","wish that i could say that",2,"wish that i could say","that","wish","wish that","wish that i","wish that i could","that","i","could","say"
"579","wish you would see all my",2,"wish you would see all","my","wish","wish you","wish you would","wish you would see","you","would","see","all"
"580","with ghosts everyone talks about it",2,"with ghosts everyone talks about","it","with","with ghosts","with ghosts everyone","with ghosts everyone talks","ghosts","everyone","talks","about"
"581","with me and just forget the",2,"with me and just forget","the","with","with me","with me and","with me and just","me","and","just","forget"
"582","with true love as it is",2,"with true love as it","is","with","with true","with true love","with true love as","true","love","as","it"
"583","would love nothing more than to",2,"would love nothing more than","to","would","would love","would love nothing","would love nothing more","love","nothing","more","than"
"584","would love to have you as",2,"would love to have you","as","would","would love","would love to","would love to have","love","to","have","you"
"585","would love to hear from you",2,"would love to hear from","you","would","would love","would love to","would love to hear","love","to","hear","from"
"586","would mean alot if u dotheir",2,"would mean alot if u","dotheir","would","would mean","would mean alot","would mean alot if","mean","alot","if","u"
"587","would see all my imagine tweets",2,"would see all my imagine","tweets","would","would see","would see all","would see all my","see","all","my","imagine"
"588","wrong place at the wrong time",2,"wrong place at the wrong","time","wrong","wrong place","wrong place at","wrong place at the","place","at","the","wrong"
"589","ye desire when ye pray believe",2,"ye desire when ye pray","believe","ye","ye desire","ye desire when","ye desire when ye","desire","when","ye","pray"
"590","ye pray believe that ye receive",2,"ye pray believe that ye","receive","ye","ye pray","ye pray believe","ye pray believe that","pray","believe","that","ye"
"591","ye receive them and ye shall",2,"ye receive them and ye","shall","ye","ye receive","ye receive them","ye receive them and","receive","them","and","ye"
"592","yes there will be a next",2,"yes there will be a","next","yes","yes there","yes there will","yes there will be","there","will","be","a"
"593","you are not familiar with the",2,"you are not familiar with","the","you","you are","you are not","you are not familiar","are","not","familiar","with"
"594","you are not the only one",2,"you are not the only","one","you","you are","you are not","you are not the","are","not","the","only"
"595","you are on the right track",2,"you are on the right","track","you","you are","you are on","you are on the","are","on","the","right"
"596","you can get a better look",2,"you can get a better","look","you","you can","you can get","you can get a","can","get","a","better"
"597","you do not like change you",2,"you do not like change","you","you","you do","you do not","you do not like","do","not","like","change"
"598","you do not want to miss",2,"you do not want to","miss","you","you do","you do not","you do not want","do","not","want","to"
"599","you have been reading my blog",2,"you have been reading my","blog","you","you have","you have been","you have been reading","have","been","reading","my"
"600","you have to do something you",2,"you have to do something","you","you","you have","you have to","you have to do","have","to","do","something"
"601","you know what i do not",2,"you know what i do","not","you","you know","you know what","you know what i","know","what","i","do"
"602","you light up my world like",2,"you light up my world","like","you","you light","you light up","you light up my","light","up","my","world"
"603","you need anyone to talk to",2,"you need anyone to talk","to","you","you need","you need anyone","you need anyone to","need","anyone","to","talk"
"604","you want something you have never",2,"you want something you have","never","you","you want","you want something","you want something you","want","something","you","have"
"605","you what things soever ye desire",2,"you what things soever ye","desire","you","you what","you what things","you what things soever","what","things","soever","ye"
"606","you will not be able to",2,"you will not be able","to","you","you will","you will not","you will not be","will","not","be","able"
"607","you would love to catch up",2,"you would love to catch","up","you","you would","you would love","you would love to","would","love","to","catch"
"608","you would see all my imagine",2,"you would see all my","imagine","you","you would","you would see","you would see all","would","see","all","my"
"609","your opponents side of the field",2,"your opponents side of the","field","your","your opponents","your opponents side","your opponents side of","opponents","side","of","the"
